name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,ADP
dandre-swift,21,0,13,3.5384615384615383,1.0088366960464616,4.384615384615385,0.9230769230769232,27.46153846153846,16.986942426986424,8.069230769230769,4.445288710081307,14.615384615384617,5.758451468373201,0.1538461538461538,0.3608012122941099,8.76923076923077,4.854083865933385,40.07692307692308,33.582187445273235,3.769230769230769,2.1279765091909826,12.846153846153848,12.901080180453311,0.6153846153846154,0.737820234355803,9.8,44.0
david-johnson-rb,28,5,12,2.75,2.742413778650722,3.8333333333333335,2.4094720491334933,26.166666666666668,27.452484202506863,8.0,4.737615433949869,13.916666666666666,9.92856429142144,0.1666666666666666,0.372677996249965,12.25,4.284176311342318,57.583333333333336,32.123351665450826,4.991666666666667,2.4635537790399917,18.33333333333333,11.249691353790803,0.5,0.5,8.4,112.0
nyheim-hines,23,2,16,3.9375,1.983328956577804,4.75,2.165063509461097,30.125,17.41003661684834,7.79375,3.6127324752187233,13.0625,5.727878643092921,0.25,0.5590169943749475,5.5625,3.353519606324078,23.75,20.17269193736919,4.0375000000000005,3.089270747280011,11.125,8.037995707886388,0.1875,0.3903123748998999,14.2,160.0
clyde-edwards-helaire,21,0,13,2.769230769230769,1.804006061470549,4.153846153846154,2.2134607030674087,22.846153846153847,21.27781854726131,7.415384615384616,5.10773864668507,11.461538461538462,7.870249576879178,0.0769230769230769,0.2664693550105965,13.923076923076923,6.3906366417118825,61.76923076923077,41.83144537886788,4.207692307692307,1.2362857140903576,15.615384615384617,7.869497702067154,0.3076923076923077,0.6056929133855238,8.7,23.0
miles-sanders,23,1,12,2.333333333333333,1.247219128924647,4.333333333333333,2.0138409955990952,16.416666666666668,11.98233653712367,7.091666666666666,7.709999819858768,10.75,9.627434756984853,0.0,0.0,13.666666666666666,3.8801489089409382,72.25,30.531745773866252,5.433333333333333,2.8181948517131,27.58333333333333,28.5874632584907,0.5,0.7637626158259734,8.7,42.0
jd-mckissic,26,4,16,5.0,3.082207001484488,6.875,4.136348026943574,36.8125,22.20421905291875,7.0125,3.0072568480261213,12.3125,7.033124750066644,0.125,0.3307189138830738,5.3125,3.4043859578490805,22.8125,21.48609652193716,3.8875,2.4479264184202925,8.625,4.498263553861645,0.0625,0.2420614591379635,19.2,206.0
james-conner,25,3,13,2.6923076923076925,1.3803352649943357,3.3076923076923075,2.014738592878276,16.53846153846154,14.150919429848337,5.007692307692308,3.4352161590170125,8.923076923076923,5.195583012544087,0.0,0.0,13.0,4.755563543407303,55.46153846153846,35.208424220556566,3.9615384615384617,1.6954865249281748,18.53846153846154,13.964875634222096,0.4615384615384615,0.4985185152621432,0.8,106.0
myles-gaskin,23,1,10,4.1,1.1357816691600546,4.7,1.2688577540449522,38.8,18.583863968507732,10.27,6.212254019275129,21.4,15.19341962824696,0.2,0.6000000000000001,14.2,5.362835071116769,58.4,23.18275220934736,4.2700000000000005,1.2907749610214787,14.9,6.518435395092905,0.3,0.458257569495584,8.4,63.0
chase-edmonds,24,2,16,3.3125,1.4456291882775472,4.1875,1.5090870584562046,25.125,19.735358496870536,7.300000000000001,3.150595181866436,12.625,6.450532923720334,0.25,0.4330127018922193,6.0625,5.50532412760593,28.0,20.667002685440384,4.7375,3.3555690650022387,12.6875,9.081015568206016,0.0625,0.2420614591379635,11.7,73.0
austin-ekeler,25,3,10,5.4,3.555277766926236,6.5,4.5661800227323495,40.3,29.27473313285708,6.75,3.10169308604188,13.0,7.54983443527075,0.2,0.4,11.6,4.715930449020639,53.0,25.810850431553007,4.57,1.013952661616902,14.1,6.024118192731613,0.1,0.3,10.4,14.0
giovani-bernard,28,7,16,2.9375,1.8529958850466992,3.6875,2.2560682059725057,22.1875,20.494568640251984,6.4625,5.017329344382328,12.5625,10.839561510965284,0.1875,0.3903123748998999,7.75,6.869315832017043,26.0,24.259018941416407,3.3125,2.2627071728352304,7.6875,4.26788516129476,0.1875,0.3903123748998999,10.2,201.0
latavius-murray,30,6,15,1.5333333333333334,0.8844332774281066,1.7333333333333334,0.8537498983243799,11.733333333333333,11.857299673853047,6.48,6.855576805297519,8.4,8.63172443180774,0.0666666666666666,0.2494438257849294,9.733333333333333,4.388874824168744,43.73333333333333,29.57806995431281,4.153333333333332,1.4655450256550366,12.866666666666667,8.701468586138523,0.2666666666666666,0.679869268479038,5.0,190.0
devin-singletary,22,1,16,2.375,1.3635890143294642,3.125,1.79843682124227,16.8125,12.476070845823216,6.7875,4.21453956559907,10.4375,8.253550372415498,0.0,0.0,9.75,4.479118216792229,42.9375,25.3290069633612,4.18125,1.9723776102714208,14.9375,10.691519711902512,0.125,0.3307189138830738,1.0,125.0
gus-edwards,25,1,16,0.5625,0.7880950133074057,0.8125,0.9499177595981664,8.0625,13.282830788277025,5.4375,9.015394819418615,7.0625,11.760467412054677,0.0,0.0,9.0,3.758324094593227,45.1875,27.841557854222167,5.28125,3.2257206074767235,15.0,9.842509842514763,0.375,0.5994789404140899,0.0,75.0
leonard-fournette,25,3,13,2.769230769230769,1.716608738801646,3.615384615384616,2.020603928702107,17.923076923076923,13.20525267553984,6.346153846153846,3.4649043464686744,10.23076923076923,5.010049073210395,0.0,0.0,7.461538461538462,4.516897924893292,28.23076923076923,27.981185563912945,2.9000000000000004,2.119506473759326,11.692307692307692,11.808631884441503,0.4615384615384615,0.7457969011409736,1.6,102.0
jamaal-williams,25,3,14,2.2142857142857144,2.425418120907093,2.5,2.4421887138969653,16.857142857142858,24.686193778411976,4.164285714285714,3.7942827560229433,7.428571428571429,8.321351930977542,0.0714285714285714,0.2575393768188563,8.5,5.095516236289089,36.07142857142857,24.502082377143516,4.464285714285714,1.9590840217003536,11.214285714285714,6.178055304619632,0.1428571428571428,0.3499271061118826,0.0,120.0
tony-pollard,23,1,16,1.75,1.299038105676658,2.5,2.0615528128088303,12.0625,15.319386206699011,5.6125,5.027657879171971,8.375,7.967708265241644,0.0625,0.2420614591379635,6.3125,3.4043859578490805,27.1875,20.016301949910726,4.175,2.6387733892852565,13.1875,11.668433645952655,0.25,0.5590169943749475,6.3,170.0
cam-akers,21,0,12,0.9166666666666666,1.114924013354971,1.1666666666666667,1.3437096247164249,10.25,15.411710915188271,6.041666666666667,7.859331855967289,8.5,11.940826325398646,0.0833333333333333,0.2763853991962833,12.083333333333334,8.004772881780525,52.083333333333336,43.16529920613959,4.083333333333333,2.3129466535616907,18.666666666666668,17.834112132527245,0.1666666666666666,0.3726779962499649,0.5,27.0
zack-moss,22,0,13,1.0769230769230769,1.071414482860317,1.3846153846153846,1.1461280327501029,7.3076923076923075,10.268582520593997,3.7,5.315145269018452,5.153846153846154,7.123591940178599,0.0769230769230769,0.2664693550105965,8.615384615384615,3.520018827276169,37.0,25.67848545737492,3.984615384615384,1.826238738225121,14.307692307692308,8.66810790625937,0.3076923076923077,0.6056929133855239,0.7,108.0
raheem-mostert,28,5,8,2.0,1.118033988749895,2.375,1.4947825928876748,19.5,29.991665508937647,6.25,7.431184293233481,14.5,23.732888572611635,0.125,0.3307189138830738,13.0,3.082207001484488,65.125,17.524536370472116,5.512499999999999,2.7172768997656456,25.375,22.02236079533709,0.25,0.4330127018922193,3.3,74.0
joe-mixon,23,3,6,3.5,1.9790570145063195,4.333333333333333,2.0548046676563256,23.0,13.140268896284685,6.383333333333333,2.5300966165126755,12.5,5.880759588125784,0.1666666666666666,0.372677996249965,19.83333333333333,3.435921354681384,71.33333333333333,36.389864278700216,3.483333333333333,1.1710631447060782,14.0,9.201449161228174,0.5,0.7637626158259734,4.5,21.0
damien-harris-rb,23,1,10,0.5,0.5,0.7,0.7810249675906655,5.2,6.44670458451448,5.2,6.44670458451448,5.2,6.44670458451448,0.0,0.0,13.7,4.220189569201838,69.1,30.034813134094904,4.87,1.0373523991392704,17.8,9.672641831474998,0.2,0.4000000000000001,1.6,66.0
christian-mccaffrey,24,3,3,5.666666666666667,3.0912061651652345,6.333333333333333,2.6246692913372702,49.66666666666666,23.156472577277874,9.4,2.362202362203543,16.666666666666668,5.734883511361751,0.3333333333333333,0.4714045207910317,19.666666666666668,2.3570226039551585,75.0,16.08311744241976,3.766666666666667,0.3681787005729088,12.333333333333334,2.494438257849294,1.6666666666666667,0.4714045207910317,3.5,1.0
alexander-mattison,22,1,13,1.0,1.3587324409735149,1.1538461538461535,1.4058205294228512,9.615384615384617,15.178620903902262,4.092307692307693,5.563820151169178,5.538461538461538,8.242622665290876,0.0769230769230769,0.2664693550105965,7.384615384615385,6.522605207907716,33.38461538461539,35.471632135983434,3.969230769230769,1.9451654528736768,11.384615384615383,7.849923679574722,0.1538461538461538,0.36080121229411,2.9,200.0
sony-michel,25,2,9,0.7777777777777778,1.0304020550550783,1.0,0.9428090415820634,12.666666666666666,19.08460694439952,6.944444444444445,8.763701794093777,8.444444444444445,11.096657265552354,0.1111111111111111,0.3142696805273544,8.777777777777779,3.965904066127721,49.888888888888886,34.54608659118182,5.01111111111111,3.515819627671617,15.22222222222222,13.966450099973928,0.1111111111111111,0.3142696805273544,2.0,111.0
phillip-lindsay,25,2,11,0.6363636363636364,0.9791208740244554,1.2727272727272727,1.212878551284212,2.5454545454545454,3.774643544004854,1.8,3.189471315551728,2.363636363636364,3.674796896619589,0.0,0.0,10.727272727272728,5.082785726725223,45.63636363636363,32.12269865056548,4.427272727272728,3.610613372492247,15.545454545454543,13.766650324498867,0.0909090909090909,0.2874797872880344,2.5,187.0
darrel-williams,25,2,16,1.125,1.1110243021644486,1.625,1.6909686573085854,7.25,8.302860952707807,4.81875,5.13264292908634,5.875,5.475799028452378,0.0,0.0,2.4375,3.061224224064614,10.5625,14.624332249713149,2.21875,2.278217162058964,4.3125,4.818178468052008,0.0625,0.2420614591379635,3.1,193.0
aj-dillon,22,0,11,0.1818181818181818,0.385694607919935,0.1818181818181818,0.385694607919935,1.9090909090909087,4.679831882266818,1.9090909090909087,4.679831882266818,1.9090909090909087,4.679831882266818,0.0,0.0,4.181818181818182,5.685998462222505,22.0,33.57758992921537,4.809090909090909,4.708687241385871,9.727272727272728,9.036199010755764,0.1818181818181818,0.5749595745760689,0.0,105.0
