name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,ADP,class
nick-chubb,25,3,14,1.4285714285714286,0.9035079029052513,1.7857142857142858,1.263700429496724,12.428571428571429,14.99863939407403,6.485714285714286,5.3840846340802235,9.357142857142858,10.499028137724686,0.07142857142857142,0.25753937681885636,16.285714285714285,4.861342722049587,89.92857142857143,37.49564600573986,5.571428571428572,2.1164082010494543,26.214285714285715,16.514835630982446,0.5714285714285714,0.7284313590846836,4.8,19.0,0
aaron-jones,26,4,15,3.466666666666667,1.9618585292749549,4.333333333333333,2.4675674031095665,26.066666666666666,18.933098590094076,6.753333333333333,4.673737500354745,12.066666666666666,7.70685120886316,0.4,0.8,11.4,4.255192905928787,53.266666666666666,25.753877809413908,4.6866666666666665,1.9818734122597796,16.866666666666667,13.169999578165859,0.26666666666666666,0.44221663871405337,11.0,14.0,1
damien-harris-rb,24,2,15,1.2,1.0456258094238748,1.3333333333333333,1.07496769977314,8.8,10.992118388493942,5.3,5.179446559881342,6.266666666666667,6.071426704014653,0.0,0.0,13.466666666666667,5.377318621353542,61.93333333333333,35.47856943126215,4.373333333333334,2.608567082177919,19.666666666666668,15.584892970081277,1.0,0.816496580927726,3.9,71.0,3
josh-jacobs,23,2,15,3.6,2.0591260281974,4.266666666666667,1.9821424996424675,23.2,13.462045411699766,7.666666666666667,7.280262510529563,11.466666666666667,7.329089681232967,0.0,0.0,14.466666666666667,6.141299174894149,58.13333333333333,33.67069282856466,3.8666666666666667,0.9169999394159678,12.933333333333334,6.308371862497926,0.6,0.6110100926607788,10.2,54.0,2
dalvin-cook,25,4,13,2.6153846153846154,1.688807569238473,3.769230769230769,1.8461538461538458,17.23076923076923,18.284730267267975,5.815384615384615,4.798051872911331,9.615384615384615,7.301616907744176,0.0,0.0,19.153846153846153,6.791920016813573,89.15384615384616,48.51779396634751,4.461538461538462,1.5691930613870702,21.846153846153847,14.795249517464166,0.46153846153846156,0.6343239424027171,8.1,7.0,0
derrick-henry,27,5,8,2.25,1.7853571071357126,2.5,1.8708286933869707,19.25,16.611366590380214,6.2875,3.879573913460085,9.375,5.998697775350913,0.0,0.0,27.375,5.677532474587882,117.125,41.1231002600728,4.3125,1.4012828943507447,28.875,23.288610413676466,1.25,1.3919410907075054,3.7,6.0,0
javonte-williams,21,0,17,2.5294117647058822,1.6130952000943632,3.1176470588235294,2.1661120752378786,18.58823529411765,20.427947475512163,6.194117647058825,5.377017606359527,11.588235294117647,10.797923675843546,0.17647058823529413,0.3812200410828153,11.941176470588236,4.425468911483301,53.11764705882353,25.52249838623626,4.517647058823529,1.5956688784175033,17.470588235294116,11.151985563428623,0.23529411764705882,0.42418250299576343,9.8,25.0,2
dandre-swift,22,1,13,4.769230769230769,1.8873606379054304,6.0,2.2870874995874626,34.76923076923077,27.372512450811353,6.2846153846153845,3.5046883223314436,17.0,16.792855623746664,0.15384615384615385,0.36080121229410994,11.615384615384615,7.087784307562735,47.46153846153846,38.83023283793854,3.9846153846153842,2.445355457517264,16.692307692307693,13.424344220537526,0.38461538461538464,0.48650425541051995,13.2,17.0,1
devin-singletary,23,2,17,2.3529411764705883,2.084711193725806,2.9411764705882355,2.363212873717725,13.411764705882353,14.430599936692582,4.541176470588234,3.830075843747501,6.647058823529412,5.78986108205378,0.058823529411764705,0.23529411764705882,11.058823529411764,5.895866829800389,51.1764705882353,28.211877544787338,5.0,2.3579652245103193,17.764705882352942,11.08007969691398,0.4117647058823529,0.5998846486579748,7.6,83.0,2
david-montgomery,24,2,14,3.0,2.449489742783178,3.642857142857143,2.9424757034351403,21.5,17.438668035636862,6.535714285714285,3.3007806745108788,9.357142857142858,4.560813568669878,0.0,0.0,16.071428571428573,6.052912943537254,60.642857142857146,27.398141602402635,3.564285714285714,1.4796752263622595,16.285714285714285,9.261506907846133,0.5,0.7319250547113999,9.4,46.0,2
