name,age,years_played,games_played,avg_qbr,std_qbr,avg_cmp,std_cmp,avg_att,std_att,avg_pct,std_pct,avg_pyds,std_pyds,avg_ypa,std_ypa,avg_TD,std_TD,avg_INT,std_INT,avg_SACK,std_SACK,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,ADP,class
kirk-cousins,32,9,15,99.82,20.657660403185385,23.866666666666667,6.520395352703359,35.93333333333333,6.392356546862998,65.50000000000001,9.365895579174476,264.73333333333335,77.03199912301957,7.260000000000001,1.4858443166541146,2.0,0.7302967433402214,0.4666666666666667,0.6182412330330469,1.6666666666666667,1.1925695879998877,1.8666666666666667,1.14697670227235,7.733333333333333,10.246733896981787,3.6666666666666665,4.702576126148541,6.733333333333333,7.792874237974645,0.06666666666666667,0.24944382578492946,125.0,2
ryan-tannehill,32,9,16,88.70625,18.842288500537823,20.875,5.925316447245666,31.1875,8.973702900698239,67.1,6.2008063991709985,215.4375,68.7885971200896,6.95625,1.4882744832523334,1.0625,0.899218410621135,0.875,1.0532687216470449,2.875,1.79843682124227,3.3125,1.2103072956898178,17.0,13.842868199907128,5.125,3.6425437540268475,10.8125,7.691056088080492,0.4375,0.49607837082461076,175.0,3
derek-carr,30,7,16,94.675,17.320020929548555,25.5,4.7302219821061255,36.875,7.720710783341129,69.8875,8.221152215474422,288.625,73.36541675067348,7.949999999999999,1.8439088914585773,1.3125,0.6817945071647321,0.875,0.5994789404140899,2.3125,0.982264602843857,2.4375,1.6944302139657448,6.8125,7.731580934711865,2.6312499999999996,3.669420722334794,5.1875,6.1767583528902925,0.0,0.0,114.0,2
carson-wentz,28,5,16,96.45,23.600264829022578,19.0625,6.077301518766368,30.4375,9.387283619343776,62.1125,8.86382218628059,211.125,78.91520369992084,7.00625,2.0662371445456107,1.625,0.9270248108869579,0.375,0.6959705453537527,1.625,0.8569568250501305,3.375,1.7275343701356567,12.375,9.974185430399817,3.525,2.663996058555643,8.5,5.350233639758174,0.0625,0.24206145913796356,177.0,2
lamar-jackson,24,3,11,85.37272727272727,22.127074773149047,22.0,5.954371961386478,34.36363636363637,5.866278474509701,63.5909090909091,9.4838096052219,260.45454545454544,71.54447267432987,7.6,1.5971565643070473,1.4545454545454546,0.9875254992000196,1.1818181818181819,1.192261549873091,3.3636363636363638,1.5534552264213692,12.0,4.348458452036872,69.27272727272727,26.910933597841566,5.836363636363637,1.3323067673452873,17.0,7.185844671043456,0.18181818181818182,0.5749595745760688,42.0,0
russell-wilson,32,9,13,103.03846153846152,29.540520761555733,18.76923076923077,4.509031043000875,28.76923076923077,5.950486032558067,65.6,9.082273520858767,221.15384615384616,58.1706324979117,7.9,2.081050030818392,1.6923076923076923,1.2639751327042295,0.38461538461538464,0.6249260311258431,2.4615384615384617,1.08240363688233,3.0,1.5689290811054724,13.692307692307692,8.956172047894082,4.292307692307692,2.313326455548552,9.461538461538462,4.892936582704385,0.07692307692307693,0.26646935501059654,77.0,2
mac-jones,22,0,16,94.36875,27.337330675058602,20.75,7.198090024443984,30.6875,10.97564775992743,68.6,10.688077469779119,221.25,73.2235447107008,7.36875,1.5531092806045554,1.3125,0.982264602843857,0.75,0.9013878188659973,1.625,1.0532687216470449,2.5625,2.1203994317109216,7.8125,10.660785325200015,2.75625,3.5827658223082346,4.9375,5.067898356320892,0.0,0.0,173.0,2
matt-ryan,36,13,16,88.90625,26.67535071817239,22.1875,6.6353103732982985,32.9375,7.733601602746291,66.59375,9.04498954877782,234.5,72.13355668480517,7.137499999999999,1.5964315675906688,1.1875,1.0734727523323542,0.6875,0.982264602843857,2.3125,1.529654781315052,2.4375,1.5799030824705673,5.0,5.916079783099616,2.2125,4.10074307290764,4.0625,4.394154497739013,0.0625,0.24206145913796356,171.0,2
trevor-lawrence,21,0,16,70.5875,17.225666714237796,21.0,5.135659646043535,35.625,8.550402037331343,59.356249999999996,7.428742217731075,213.625,62.858844843029054,6.050000000000001,1.4124446891825535,0.625,0.7806247497997998,1.0625,1.2975337182516684,1.9375,0.8267972847076845,3.9375,2.0757152381769517,19.8125,12.600688225251826,4.8125,2.956322673525338,9.6875,5.891930392494467,0.125,0.33071891388307384,142.0,3
jared-goff,26,5,13,90.93076923076923,21.6901744723055,23.923076923076923,5.210367452884954,35.69230769230769,8.305555280696774,67.6923076923077,8.170628592564535,231.30769230769232,56.5432232427066,6.515384615384614,1.0925243555434458,1.3076923076923077,1.2015768732164085,0.6153846153846154,0.6249260311258431,2.6153846153846154,1.2733034890189883,1.3076923076923077,1.3234346564680965,6.6923076923076925,12.155306630848143,2.4923076923076923,3.188069475756217,4.923076923076923,7.300806472433645,0.0,0.0,207.0,2
baker-mayfield,26,3,13,87.5923076923077,24.861321876436637,18.23076923076923,3.3776151384769464,29.23076923076923,5.176185797310992,63.31538461538461,11.865907605978123,217.30769230769232,60.56450422151273,7.553846153846154,2.2673655959201042,1.1538461538461537,0.7692307692307693,0.8461538461538461,1.0986812966989001,2.6153846153846154,1.5951108733329016,2.6923076923076925,2.2320950966995246,9.076923076923077,7.477777728932146,3.4923076923076914,2.4234309875627345,5.6923076923076925,3.5166552155884494,0.07692307692307693,0.26646935501059654,174.0,2
tua-tagovailoa,23,1,12,85.68333333333334,23.08664236210098,20.666666666666668,9.348202441586773,30.5,11.765061269142063,64.30833333333334,16.487948039569858,212.0,75.36909180824723,7.050000000000001,2.036950334855189,1.25,1.1636866703140785,0.8333333333333334,0.6871842709362768,1.5833333333333333,1.0374916331657278,3.0833333333333335,1.70579079087156,7.5,9.793705461502642,2.0083333333333333,2.5381943494452024,4.083333333333333,3.3029868637677353,0.25,0.4330127018922193,135.0,2
daniel-jones,24,2,10,85.64000000000001,20.667810721022196,21.3,6.512296062065975,33.1,9.9443451267542,63.629999999999995,9.942439338512454,222.6,82.94118397997462,6.790000000000001,1.594020075155893,0.9,0.7000000000000001,0.7,1.004987562112089,2.1,1.3,5.3,2.193171219946131,26.8,24.97118339206214,4.459999999999999,2.490461804565571,12.8,12.073110618229256,0.2,0.4000000000000001,187.0,3
zach-wilson,21,0,12,71.50833333333334,18.436940198657933,17.166666666666668,4.431578600102777,30.25,8.506125244003092,57.40833333333334,4.557129639976852,187.25,64.64792468955726,6.133333333333333,1.210601319822325,0.6666666666666666,0.8498365855987975,0.9166666666666666,1.114924013354971,3.0,1.8708286933869707,2.25,1.4215601757693317,13.416666666666666,25.39835405865681,3.85,6.293448974926228,8.166666666666666,14.135259302734973,0.3333333333333333,0.4714045207910317,218.0,3
justin-fields,22,0,11,68.92727272727272,21.114626163314586,12.090909090909092,6.487113736331373,21.0,9.263810329350543,58.99090909090909,17.777895086848957,144.0909090909091,80.78979969982096,6.6909090909090905,2.3903041059681644,0.5454545454545454,0.6555547773570889,0.9090909090909091,0.8999540851465149,3.0,2.256304299271065,5.909090909090909,3.0882341366296417,35.0,29.64640097733772,5.118181818181818,2.5290379708203754,11.272727272727273,6.136195283885892,0.18181818181818182,0.38569460791993493,149.0,3
jameis-winston,27,6,6,96.51666666666667,34.27104787166892,14.833333333333334,2.608745973749755,25.166666666666668,5.4594464513864,60.01666666666667,9.392446728917635,185.66666666666666,60.52180506965146,7.316666666666666,1.731489403824221,2.1666666666666665,1.7716909687891083,0.5,0.7637626158259734,1.8333333333333333,1.462494064565354,4.666666666666667,2.560381915956203,21.0,15.14375558880073,3.766666666666667,2.4877477542727053,10.0,6.4031242374328485,0.16666666666666666,0.372677996249965,166.0,1
trey-lance,21,0,5,60.519999999999996,54.706540742401174,5.0,6.0332412515993425,9.6,11.876026271442818,40.339999999999996,37.51349623802079,70.8,85.41053799151484,4.06,3.516589256651962,0.6,0.7999999999999999,0.2,0.4,0.6,0.7999999999999999,6.0,5.366563145999495,27.4,34.261348484845136,2.9,2.3366642891095846,7.6,5.642694391866353,0.2,0.4000000000000001,104.0,4
