name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,class
tarik-cohen,22,-1,16,4.4375,3.0815732589052627,5.6875,3.803267509655349,45.3125,43.00395148995032,12.3875,15.43388621669863,20.9375,18.521840992460767,0.3125,0.46351240544347894,6.1875,2.2698774746668597,27.75,17.455300054711177,4.550000000000001,2.5102290732122436,14.125,8.045767520877048,0.1875,0.3903123748998999,17.5,0
kareem-hunt,22,1,11,2.3636363636363638,1.8719327529067273,3.1818181818181817,1.991718390927877,34.36363636363637,30.38023498404761,13.218181818181817,13.259152460355155,21.0,19.981809909833675,0.6363636363636364,0.642824346533225,16.454545454545453,2.9034035313947837,74.9090909090909,21.24512583866771,4.7,1.5550504230351563,21.90909090909091,9.7556934002155,0.6363636363636364,0.7713892158398701,9.0,0
phillip-lindsay,23,0,15,2.3333333333333335,1.6193277068654828,3.1333333333333333,2.1561282171728307,16.066666666666666,12.922676021457614,5.833333333333333,3.8798052642998577,9.333333333333334,7.096164848392092,0.06666666666666667,0.24944382578492946,12.8,4.182503237695499,69.13333333333334,37.69326494510952,5.313333333333333,1.9004794716655644,24.0,17.041126723312633,0.6,0.7118052168020874,7.9,1
kenyan-drake,24,2,16,3.3125,1.5699820858850588,4.5625,2.4486922530199666,29.8125,19.271801777467513,11.13125,11.976890182242634,16.6875,11.809523434499802,0.3125,0.46351240544347894,7.5,3.6742346141747673,33.4375,20.82657181943298,4.45,2.529575063128193,14.1875,11.92276577602697,0.25,0.4330127018922193,16.5,0
chris-carson,23,0,14,1.4285714285714286,1.6781914463529615,1.7142857142857142,1.9059520091609046,11.642857142857142,12.893005539312187,4.971428571428571,4.853338846524491,7.928571428571429,8.455465567263795,0.0,0.0,17.642857142857142,7.412413746615904,82.21428571428571,31.385116061663396,4.8428571428571425,1.1261275528580776,20.285714285714285,12.342890211595913,0.6428571428571429,0.6102859818083951,4.2,1
derrick-henry,24,2,16,0.9375,0.8267972847076845,1.125,0.8569568250501305,6.1875,8.494253572268725,4.0625,4.936708797366926,5.1875,6.16663147512481,0.0,0.0,13.4375,6.679902226080858,65.75,56.98958238134405,4.6375,2.6162652292915567,19.0,21.693893149916637,0.75,1.0897247358851685,3.3,1
nick-chubb,22,0,16,1.25,1.3919410907075054,1.8125,1.6665364532466729,9.3125,15.324485105542697,3.325,5.13949170638498,5.0625,8.003661271568156,0.125,0.33071891388307384,12.0,8.470537173048708,62.25,46.53291845564815,6.675,7.612202375134282,25.4375,22.23164622222115,0.5,0.6123724356957945,3.3,1
tevin-coleman,25,3,16,2.0,1.3693063937629153,2.75,1.6007810593582121,17.25,16.779824194549835,7.393749999999999,6.794526174612914,11.875,11.428445869845996,0.3125,0.582961190818051,10.4375,2.78318050977654,50.0,35.5931875504288,4.58125,2.9360302174024024,19.125,14.343443624178958,0.25,0.4330127018922193,8.4,1
adrian-peterson-min,33,10,16,1.25,1.0307764064044151,1.625,1.165922381636102,13.0,18.227726133558185,6.83125,8.79251945903448,9.6875,13.046641090717564,0.0625,0.24206145913796356,15.6875,7.3034131575585945,65.125,45.38980474732184,3.7625000000000006,2.4899485436450286,22.6875,22.629402196036907,0.4375,0.7043392293490403,5.3,2
jordan-howard,23,2,16,1.25,1.25,1.6875,1.260890062614501,9.0625,9.902453925669132,5.28125,4.6903116567558705,6.5,6.1339220731926485,0.0,0.0,15.625,4.428247395979588,58.4375,26.872310911977777,3.6249999999999996,1.1892749892266297,15.3125,9.398927797892693,0.5625,0.7043392293490403,5.3,1
marlon-mack,22,1,12,1.4166666666666667,0.7592027982620249,2.1666666666666665,0.8975274678557507,8.583333333333334,8.817202252163412,5.7250000000000005,4.451427673604653,7.666666666666667,7.110243002567181,0.08333333333333333,0.2763853991962833,16.25,6.08447477875727,75.66666666666667,42.734321361432926,4.425,1.5785673884886893,17.75,11.882234638316145,0.75,0.7216878364870323,3.8,1
tj-yeldon,24,1,14,3.9285714285714284,2.282363615524351,5.571428571428571,2.718042512920064,34.785714285714285,23.238448962959673,8.542857142857143,2.8786689100828444,15.571428571428571,8.641381219906636,0.2857142857142857,0.45175395145262565,7.428571428571429,4.8212962944817725,29.571428571428573,18.813803009319233,4.264285714285714,1.5586657035779685,9.857142857142858,4.867635724971662,0.07142857142857142,0.25753937681885636,16.5,3
lamar-miller,27,4,14,1.7857142857142858,1.5665508713900935,2.5,1.880349511584026,11.642857142857142,12.753750948850545,5.235714285714286,5.221467656683887,7.0,6.458659745975609,0.07142857142857142,0.25753937681885636,15.0,4.765950662174936,69.5,44.63302748926117,4.478571428571429,2.9539751840113864,24.642857142857142,24.0820239504702,0.35714285714285715,0.4791574237499549,7.5,1
aaron-jones,23,1,12,2.1666666666666665,1.4624940645653537,2.9166666666666665,1.846543317180028,17.166666666666668,16.876183086099637,6.533333333333332,5.068585163095866,9.666666666666666,7.553512795749774,0.08333333333333333,0.2763853991962833,11.083333333333334,4.050891534245545,60.666666666666664,33.389951915043085,5.308333333333334,1.955956003822399,21.5,16.26089378437319,0.6666666666666666,0.6236095644623235,6.7,1
austin-ekeler,23,1,14,2.7857142857142856,2.650567902182782,3.7857142857142856,3.027931199175235,28.857142857142858,24.1449703217199,11.092857142857143,11.106398688897078,15.285714285714286,11.828709453991117,0.21428571428571427,0.41032590332414504,7.571428571428571,3.6783980541667805,39.57142857142857,18.859307235096285,5.9071428571428575,2.653424818099454,17.071428571428573,9.114072993487174,0.21428571428571427,0.41032590332414487,11.2,0
matt-breida,23,1,14,1.9285714285714286,1.486332289048915,2.2142857142857144,1.6552328894652095,18.642857142857142,17.438082884706034,6.678571428571429,4.799282471880351,10.714285714285714,9.066646658641387,0.14285714285714285,0.34992710611188266,10.928571428571429,4.233611860782127,58.142857142857146,36.457131661440286,5.235714285714287,2.863965069334357,18.428571428571427,15.31905576031875,0.21428571428571427,0.410325903324145,6.3,1
nyheim-hines,21,0,16,3.9375,2.633171804117612,5.0625,2.9255074346171126,26.5625,18.14858379461053,6.7625,5.475271112008975,13.0,8.147085368400163,0.125,0.4841229182759271,5.3125,3.459023525505428,19.625,20.281996326791898,3.2875,2.254128157403656,7.625,4.688749833377763,0.125,0.33071891388307384,11.5,3
dion-lewis,27,3,16,3.6875,2.1423920626253263,4.1875,2.214123697989794,25.0,21.656407827707714,5.95625,3.6822154930829347,12.8125,9.368956385318484,0.0625,0.24206145913796356,9.6875,5.530808598206956,32.3125,26.605259700856145,2.86875,1.9325238517286145,11.6875,8.808509734909759,0.0625,0.24206145913796356,13.5,3
dalvin-cook,22,1,11,3.6363636363636362,2.1007672742347894,4.454545454545454,2.641061644787991,27.727272727272727,17.96001067569489,8.990909090909092,7.976608363943634,14.454545454545455,8.998622484112236,0.18181818181818182,0.38569460791993493,12.090909090909092,3.2600765594620196,55.90909090909091,34.89322556145598,4.5636363636363635,2.5986964310007177,19.818181818181817,17.554166466414134,0.18181818181818182,0.5749595745760689,4.9,0
peyton-barber,24,1,16,1.25,1.14564392373896,1.8125,1.0135796712641785,5.75,6.628536791781426,3.05,2.6914215574673546,3.875,3.4798527267687636,0.0625,0.24206145913796356,14.625,3.739568825412898,54.4375,24.60937003968204,3.7,1.2668859459319928,15.875,5.9041828393097715,0.3125,0.46351240544347894,4.5,1
mark-ingram,28,7,12,1.75,0.82915619758885,2.25,0.82915619758885,14.166666666666666,15.582219211510136,6.375,5.112423593561082,10.75,9.496709956611289,0.08333333333333333,0.2763853991962833,11.5,3.122498999199199,53.75,25.43332787243279,4.633333333333334,1.4504788481356385,16.583333333333332,9.349316671405575,0.5,0.7637626158259734,4.1,2
