name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,ADP,CUSHAverage Cushion (CUSH),SEPAverage Separation (SEP),TAYAverage Targeted Air Yards (TAY),TAY%% Share of Team's Air Yards (TAY%),YAC/RYAC/Reception (YAC/R),xYAC/RExpected YAC/Reception (EYAC/R),+/-Avg .YAC Above Expectation,class
aj-brown,23,1,14,5.0,2.0,7.571428571428571,1.635074734608514,76.78571428571429,41.26426778604423,15.814285714285717,6.503719500942424,31.285714285714285,20.477962271073512,0.7857142857142857,0.5578749768504754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,24.0,5.4,2.4,11.3,30.6,6.2,3.6,2.6,2
allen-robinson,26,6,16,6.375,2.4462982238476156,9.4375,3.316035848720577,78.125,26.367297453474446,13.0,3.5563323804166562,26.625,6.836254456937659,0.375,0.5994789404140899,0.0625,0.24206145913796356,-0.0625,0.24206145913796356,-0.0625,0.24206145913796356,-0.0625,0.24206145913796356,0.0,0.0,1.1,30.0,5.6,2.3,9.5,30.5,3.6,3.3,0.4,0
robert-woods,28,7,16,5.625,2.4462982238476156,8.0625,2.703441094235271,58.5,31.821769278278666,10.2375,3.6918618270460772,22.75,11.765946625750093,0.375,0.4841229182759271,1.5,1.118033988749895,9.6875,12.199993596309795,6.0375,9.743130592884404,8.0625,10.726536894543365,0.125,0.33071891388307384,3.1,45.0,6.9,3.4,7.1,23.93,5.7,5.7,0.0,1
keenan-allen,28,7,14,7.142857142857143,4.120630029101703,10.5,4.640658820223082,70.85714285714286,40.15124467534714,10.807142857142859,2.949204320227573,19.642857142857142,5.419635502466179,0.5714285714285714,0.4948716593053935,0.07142857142857142,0.2575393768188564,-0.07142857142857142,0.2575393768188564,-0.07142857142857142,0.2575393768188564,-0.07142857142857142,0.2575393768188564,0.0,0.0,23.4,31.0,5.7,2.9,7.2,22.63,4.7,4.7,0.0,0
brandin-cooks,26,6,15,5.4,2.727636339397171,7.933333333333334,3.1510139461590594,76.66666666666667,47.564225585575926,13.566666666666666,7.0450613119325585,26.733333333333334,15.89325503336417,0.4,0.6110100926607788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,109.0,6.7,3.0,12.0,30.35,4.3,3.7,0.6,0
amari-cooper,26,5,16,5.75,2.839454172900137,8.125,3.461845606031557,69.625,37.09089342412771,12.118749999999999,5.946660696348835,27.25,18.201991649267395,0.3125,0.46351240544347894,0.375,0.5994789404140899,0.875,3.7893765978060294,1.09375,3.4105477474300225,1.5625,3.2590019561209225,0.0,0.0,20.3,41.0,6.6,2.5,9.1,25.38,4.6,3.7,0.9,0
marvin-jones,30,7,16,4.75,2.462214450449026,7.1875,3.3018697354680726,61.125,44.35351592602327,12.0125,4.529331490407829,20.8125,9.913493014573621,0.5625,0.7043392293490403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,176.0,6.7,2.5,12.9,29.74,2.8,2.5,0.3,3
juju-smith-schuster,23,3,16,6.0625,2.105610065990377,8.0,3.0,51.9375,27.4669545772734,8.212499999999999,3.2699149453770198,19.25,7.51248960065836,0.5625,0.6091746465505602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,90.0,6.1,3.1,5.8,15.72,4.4,4.1,0.3,3
chase-claypool,22,0,16,3.875,1.9324531042175384,6.8125,3.4680460997512705,54.5625,28.870332414954976,14.7,7.439674051999859,27.8125,18.828896509089425,0.5625,0.8637671850678283,0.625,0.9270248108869579,1.0,3.48209706929603,0.625,2.831187913226531,0.8125,2.855230945125105,0.125,0.33071891388307384,1.1,70.0,5.7,2.5,13.3,30.56,5.2,3.4,1.8,2
ceedee-lamb,21,0,16,4.625,1.8328597873268975,6.9375,2.2211694554896075,58.4375,30.530658259362834,12.3875,6.195449438902718,27.0,13.490737563232042,0.3125,0.582961190818051,0.625,0.5994789404140899,5.125,6.9450971915445505,4.75,6.722164829874376,4.75,6.722164829874376,0.0625,0.24206145913796356,17.4,35.0,5.9,3.0,9.4,22.3,4.6,4.6,-0.1,1
terry-mclaurin,24,1,15,5.8,2.166410241236256,8.933333333333334,2.322833518691246,74.53333333333333,33.816892557155846,12.699999999999998,3.920034013457877,28.866666666666667,15.615661653893788,0.26666666666666666,0.44221663871405337,0.13333333333333333,0.339934634239519,2.0,6.723094525588644,2.0,6.723094525588644,2.0,6.723094525588644,0.0,0.0,1.2,29.0,5.2,2.8,9.6,35.63,5.8,4.1,1.7,2
dj-moore-wr,23,2,15,4.4,1.6653327995729061,7.866666666666666,2.895206766747795,79.53333333333333,32.81436000019233,18.78666666666667,6.660517163771059,36.266666666666666,16.384816819916608,0.26666666666666666,0.573488351136175,0.13333333333333333,0.33993463423951903,1.4666666666666666,5.226428566005237,1.4666666666666666,5.226428566005237,1.4666666666666666,5.226428566005237,0.0,0.0,21.5,52.0,6.0,2.5,13.4,39.57,6.1,4.2,1.8,2
diontae-johnson,24,1,15,5.866666666666666,3.303869784897031,9.6,4.800000000000001,61.53333333333333,36.50911606099982,9.913333333333332,7.609280882945217,21.933333333333334,15.26419193916126,0.4666666666666667,0.618241233033047,0.2,0.4000000000000001,1.0,2.3944379994757297,1.0,2.3944379994757297,1.0,2.3944379994757297,0.0,0.0,2.0,60.0,5.4,3.2,8.1,24.43,4.6,4.3,0.3,0
robby-anderson,27,4,16,5.9375,2.105610065990377,8.5,2.5495097567963922,68.5,30.475399915341555,12.0,4.948232007495203,28.125,15.078440735036233,0.1875,0.3903123748998999,0.25,0.5590169943749475,0.9375,3.2106998847603307,0.53125,1.7272517006794348,0.8125,2.7436005084559962,0.0,0.0,24.7,84.0,6.4,2.9,9.6,32.64,5.5,4.8,0.7,0
curtis-samuel,23,3,15,5.133333333333334,1.892675942210452,6.466666666666667,2.55255862921022,56.733333333333334,31.875730928438678,10.753333333333334,4.670741078482324,22.866666666666667,9.520971005569175,0.2,0.4000000000000001,2.7333333333333334,1.569146972791976,13.333333333333334,13.878840809744244,4.566666666666666,3.05672300929534,9.8,10.329246503658114,0.13333333333333333,0.3399346342395189,17.6,155.0,6.8,3.5,7.1,17.13,4.6,4.8,-0.2,1
cole-beasley,31,8,15,5.466666666666667,2.9181424837652385,7.133333333333334,3.263263533472111,64.46666666666667,36.82728457121009,11.726666666666665,2.786028635092532,20.666666666666668,7.665217254295899,0.26666666666666666,0.44221663871405337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,147.0,6.2,3.5,7.9,16.6,4.5,4.7,-0.2,3
cooper-kupp,27,3,15,6.133333333333334,2.604269997949948,8.266666666666667,3.8378234572331347,64.93333333333334,33.717387535546436,10.766666666666667,4.049965706301996,24.6,13.405471519743967,0.2,0.4000000000000001,0.26666666666666666,0.573488351136175,2.2,6.046486583132391,1.5666666666666667,4.571165667043315,1.9333333333333333,5.347481234708126,0.0,0.0,22.1,40.0,6.3,3.2,6.3,20.57,5.8,4.4,1.4,0
nelson-agholor,27,5,16,3.0,1.8708286933869707,5.125,3.119995993587171,56.0,39.11521443121589,19.66875,12.898581256770063,31.0,21.61018278497431,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,196.0,5.2,2.4,15.3,28.97,5.3,4.2,1.1,2
tee-higgins,21,0,16,4.1875,1.9435389756832766,6.75,2.7726341266023544,56.75,35.31554190437972,11.5125,5.69109776317364,24.3125,16.319921683329245,0.375,0.5994789404140899,0.3125,0.582961190818051,1.75,3.61420807370024,1.5625,3.4635377506243525,1.75,3.61420807370024,0.0,0.0,18.6,67.0,6.4,2.5,12.0,27.29,4.6,3.2,1.4,2
corey-davis,25,3,14,4.642857142857143,2.8184885224212657,6.571428571428571,3.133101742780187,70.28571428571429,49.831757761819446,13.171428571428574,7.805074226006398,26.785714285714285,19.749063527268365,0.35714285714285715,0.47915742374995485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,113.0,6.8,2.4,12.3,28.84,4.5,4.0,0.5,2
chris-godwin,24,3,12,5.416666666666667,1.8911342863183696,7.0,1.9148542155126762,70.0,29.740544715926102,13.25,4.76558845614404,28.166666666666668,11.845064607487608,0.5833333333333334,0.6400954789890506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,37.0,6.4,3.0,9.8,14.69,4.8,4.1,0.7,0
brandon-aiyuk,22,0,12,5.0,2.9154759474226504,8.0,4.377975178854566,62.333333333333336,37.62829904325851,12.458333333333334,3.906502769599541,23.0,10.716031603785673,0.4166666666666667,0.4930066485916347,0.5,0.8660254037844386,6.416666666666667,13.634871551364988,4.691666666666666,11.568452671910027,5.416666666666667,12.154960121512351,0.16666666666666666,0.3726779962499649,16.8,62.0,5.5,2.8,9.7,24.62,4.9,4.1,0.8,1
marquise-brown,23,1,16,3.625,1.7275343701356567,6.25,1.984313483298443,48.0625,32.164554928523415,11.95625,7.051770057049507,24.875,18.40813339260665,0.5,0.6123724356957945,0.0625,0.24206145913796356,0.0625,0.24206145913796356,0.0625,0.24206145913796356,0.0625,0.24206145913796356,0.0,0.0,3.9,181.0,7.5,3.3,13.7,39.3,4.8,3.9,0.9,2
tyler-boyd,25,4,15,5.266666666666667,3.1510139461590594,7.333333333333333,3.2795663669996915,56.06666666666667,35.00565033756059,12.566666666666666,16.29796169941369,18.733333333333334,15.872267918885722,0.26666666666666666,0.44221663871405337,0.3333333333333333,0.5962847939999438,3.2666666666666666,6.747509828735999,2.966666666666667,6.583987309289782,3.0,6.592925501373928,0.0,0.0,18.9,100.0,5.9,2.7,8.6,19.89,4.8,3.5,1.2,4
jarvis-landry,27,6,15,4.8,1.7587874611030558,6.733333333333333,2.719477073916152,56.0,27.614006108012166,11.899999999999999,3.8035071534922436,19.466666666666665,6.5611652081691165,0.2,0.4,0.26666666666666666,0.573488351136175,0.6666666666666666,1.3498971154211057,0.5333333333333333,1.0873004286866728,0.7333333333333333,1.5260697523012794,0.06666666666666667,0.24944382578492943,3.6,129.0,6.3,3.2,8.8,21.15,4.9,4.2,0.7,3
russell-gage,24,2,16,4.5,2.318404623873926,6.8125,2.983679565570003,49.125,28.59386953526927,10.875,3.216267246358735,18.1875,7.238946314899704,0.25,0.4330127018922193,0.125,0.33071891388307384,0.5625,2.737899514226189,0.5625,2.737899514226189,0.5625,2.737899514226189,0.0,0.0,17.4,202.0,5.5,2.8,8.8,17.53,4.1,4.1,0.0,3
