name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,ADP
kyle-rudolph,29,8,16,2.4375,1.579903082470567,3.0,1.9039432764659767,22.9375,21.037076644581585,7.806249999999999,4.800061034768204,11.375,8.252840420122032,0.375,0.5994789404140899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,130.0
noah-fant,21,0,16,2.5,1.224744871391589,4.125,2.2878756522153907,35.125,34.09889111100242,12.81875,9.945050197837112,22.375,18.526585627146737,0.1875,0.3903123748998999,0.1875,0.5266343608235224,-0.75,2.0155644370746373,-0.53125,1.430349061418226,-0.4375,1.27322179921646,0.0,0.0,13.1,127.0
evan-engram,24,2,8,5.5,2.6457513110645907,8.5,2.598076211353316,58.375,35.15656944299315,10.225,3.913677937694925,26.75,20.04837898684081,0.375,0.4841229182759271,0.375,0.6959705453537527,0.875,1.6909686573085854,0.5625,0.982264602843857,0.875,1.6909686573085854,0.0,0.0,11.2,84.0
jonnu-smith,23,2,16,2.1875,1.7399263633843818,2.75,2.165063509461097,27.4375,26.8746366254504,11.09375,13.490481308593107,16.0625,16.18822392203666,0.1875,0.3903123748998999,0.25,0.4330127018922193,4.875,13.769872003762416,4.875,13.769872003762416,4.875,13.769872003762416,0.0,0.0,9.8,190.0
tyler-eifert,28,4,16,2.6875,1.4017288432503627,3.9375,2.2211694554896075,27.25,18.872930350107268,10.3125,4.424770474273214,14.75,7.258615570478987,0.1875,0.3903123748998999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,168.0
jimmy-graham,32,8,16,2.375,1.6153559979150107,3.75,2.222048604328897,27.9375,22.165482032881663,10.425,7.5099517308701795,15.125,12.07204932892506,0.1875,0.3903123748998999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,129.0
eric-ebron,26,4,11,2.8181818181818183,1.3360853142453697,4.727272727272728,2.4528613751330983,34.09090909090909,19.341216213777745,13.745454545454548,11.312451999806845,19.272727272727277,12.248123485890394,0.2727272727272727,0.4453617714151233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,169.0
oj-howard,24,2,14,2.4285714285714284,1.6781914463529617,3.7857142857142856,2.425418120907092,32.785714285714285,24.4019278261504,10.542857142857144,6.592388932453448,16.857142857142858,11.28119258422836,0.0714285714285714,0.2575393768188563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,146.0
tj-hockenson,22,0,12,2.6666666666666665,1.8856180831641267,4.916666666666667,2.899952106884219,30.58333333333333,34.5529987442801,9.933333333333334,7.342494277983621,13.25,10.512888914724313,0.1666666666666666,0.3726779962499649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,153.0
hayden-hurst,25,1,16,1.875,0.9921567416492216,2.4375,1.1162856937182344,21.8125,18.10462216534772,10.34375,6.586156765329839,15.25,13.970952007647869,0.125,0.3307189138830738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,104.0
