name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,ADP,CUSHAverage Cushion (CUSH),SEPAverage Separation (SEP),TAYAverage Targeted Air Yards (TAY),TAY%% Share of Team's Air Yards (TAY%),YAC/RYAC/Reception (YAC/R),xYAC/RExpected YAC/Reception (EYAC/R),+/-Avg .YAC Above Expectation
tyler-lockett,26,4,16,5.125,3.672107705392096,6.875,4.313858481684349,66.0625,43.89685175214733,15.00625,10.566129184214056,24.75,12.285662375305614,0.5,0.6123724356957945,0.25,0.4330127018922193,-0.3125,2.3642850399222173,-0.3125,2.3642850399222173,-0.3125,2.3642850399222173,0.0,0.0,21.3,48.0,6.3,3.2,12.8,30.09,4.0,4.7,-0.7
aj-brown,22,0,16,3.25,1.854049621773916,5.25,2.7271780286589284,65.6875,47.40216074980127,19.63125,10.58570490980643,33.8125,24.73413317159104,0.5,0.7071067811865476,0.1875,0.3903123748998999,3.75,12.116620816052636,3.75,12.116620816052636,3.75,12.116620816052636,0.0625,0.2420614591379635,18.8,39.0,5.0,2.2,13.4,29.8,8.8,4.1,4.7
dj-chark,22,1,15,4.866666666666666,2.1561282171728307,7.866666666666666,3.030218180630269,67.2,40.58604029302029,14.533333333333331,7.684674503335988,27.666666666666668,13.64632632697248,0.5333333333333333,0.7180219742846006,0.1333333333333333,0.3399346342395189,1.3333333333333333,4.988876515698588,1.3333333333333333,4.988876515698588,1.3333333333333333,4.988876515698588,0.0,0.0,20.0,54.0,6.5,2.8,11.9,32.7,4.4,3.8,0.6
robert-woods,27,6,15,6.0,3.5777087639996634,9.266666666666667,4.296768811819205,75.6,48.19654206130007,12.02,4.702793496068764,24.73333333333333,12.129669776580435,0.1333333333333333,0.339934634239519,1.1333333333333333,1.14697670227235,7.666666666666667,8.427468316298924,4.533333333333333,4.62048578494609,6.466666666666667,6.591577116964413,0.0666666666666666,0.2494438257849294,22.0,61.0,7.3,3.4,8.1,23.69,6.7,5.6,1.1
dj-moore-wr,22,1,15,5.8,2.4819347291981715,9.0,3.741657386773941,78.33333333333333,32.46262808557284,15.28,10.85266173188249,28.133333333333333,15.3833965329146,0.2666666666666666,0.573488351136175,0.4,0.4898979485566356,2.6666666666666665,5.028805910838962,2.6666666666666665,5.028805910838962,2.6666666666666665,5.028805910838962,0.0,0.0,21.3,37.0,5.3,2.6,11.1,30.19,4.8,4.0,0.8
courtland-sutton,23,1,16,4.5,1.3228756555322954,7.75,1.3919410907075054,69.5,26.236901493888336,16.400000000000002,5.89554916865257,32.3125,14.986321888642324,0.375,0.6959705453537527,0.1875,0.5266343608235224,1.0625,2.860698122836452,0.75,2.0155644370746373,1.0,2.669269563007828,0.0,0.0,24.8,55.0,5.1,2.5,11.8,43.44,5.2,3.7,1.5
john-brown,29,5,15,4.8,2.039607805437114,7.666666666666667,2.9589788028229527,70.66666666666667,30.7195196721708,16.7,10.239205698360266,27.933333333333334,10.554409294487094,0.4,0.6110100926607788,0.1333333333333333,0.339934634239519,0.4666666666666667,1.2036980056845192,0.4666666666666667,1.2036980056845192,0.4666666666666667,1.2036980056845192,0.0,0.0,22.4,123.0,4.6,2.4,14.2,36.14,3.1,3.0,0.1
stefon-diggs,25,4,15,4.2,2.103964511741266,6.266666666666667,2.322833518691246,75.33333333333333,49.279700576290935,18.093333333333337,10.255435415210586,34.666666666666664,18.66071333637121,0.4,0.8,0.3333333333333333,0.5962847939999438,4.066666666666666,8.020529215013738,3.466666666666667,7.255955408413759,3.533333333333333,7.310874700669469,0.0,0.0,20.2,68.0,4.6,2.5,14.9,40.01,5.1,4.2,0.9
michael-gallup,23,1,14,4.714285714285714,2.084931359903775,8.071428571428571,3.058110661229664,79.07142857142857,42.40361218729617,15.957142857142856,4.421815122728656,29.0,14.803474495633017,0.4285714285714285,0.8206518066482897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,76.0,5.6,2.2,12.6,26.07,5.4,3.8,1.5
tyler-boyd,24,3,16,5.625,2.496873044429772,9.25,3.230711995830021,65.375,37.06898130512896,10.7125,4.418833980814396,23.1875,13.10638560969423,0.3125,0.582961190818051,0.25,0.4330127018922193,1.4375,2.893284249775677,1.4375,2.893284249775677,1.4375,2.893284249775677,0.0,0.0,23.9,85.0,5.5,2.6,9.2,28.46,4.2,3.8,0.4
davante-adams,26,5,12,6.916666666666667,2.4650332429581736,10.583333333333334,3.3778280332518738,83.08333333333333,42.01082863051171,11.908333333333331,3.8482589858561,26.33333333333333,13.87043218104212,0.4166666666666667,0.6400954789890506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,9.0,5.6,3.2,10.0,26.29,5.0,4.3,0.7
calvin-ridley,24,0,13,4.846153846153846,2.0697883149344167,7.153846153846154,3.034320449740926,66.61538461538461,36.00756002144862,12.953846153846152,3.746509223390054,21.923076923076923,8.137865326423505,0.5384615384615384,0.4985185152621431,0.1538461538461538,0.3608012122941099,2.6153846153846154,6.18358200321889,2.6153846153846154,6.18358200321889,2.6153846153846154,6.18358200321889,0.0,0.0,13.6,49.0,7.4,2.9,13.5,23.32,2.3,2.6,-0.2
odell-beckham,26,4,16,4.625,1.79843682124227,8.3125,2.4677608777999542,64.6875,33.41915384551201,14.3875,5.669752529872887,30.5,17.574839970821927,0.25,0.4330127018922193,0.1875,0.5266343608235224,0.625,3.903123748998999,0.15625,2.2480460265528373,0.375,2.9973947020704497,0.0,0.0,24.7,30.0,5.5,2.6,13.3,38.59,4.6,3.8,0.8
terry-mclaurin,23,0,14,4.142857142857143,1.505093393264677,6.642857142857143,2.4085307571553383,65.64285714285714,35.21486525167855,15.407142857142858,6.565871097219784,29.785714285714285,19.29166574837276,0.5,0.6267831705280087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,46.0,5.2,2.1,14.1,37.26,3.9,2.6,1.3
marvin-jones,29,6,13,4.769230769230769,2.1178307535286467,7.0,2.7174648819470297,59.92307692307692,31.21996781760904,12.738461538461538,4.9493649105467545,22.53846153846154,9.810633043288243,0.6923076923076923,1.1357556200179535,0.1538461538461538,0.3608012122941099,0.0,1.5689290811054724,0.0,1.5689290811054724,0.0,1.5689290811054724,0.0,0.0,16.1,106.0,6.5,2.1,13.2,22.17,2.2,2.3,-0.1
deebo-samuel,23,0,15,3.8,2.072036035722673,5.4,2.6280537792569363,53.46666666666667,38.03308501233572,14.106666666666666,7.378659920488423,23.266666666666666,10.617386160863177,0.2,0.4000000000000001,0.9333333333333332,0.9977753031397176,10.6,13.245376551838758,5.953333333333333,7.242731222098163,8.933333333333334,11.298770827936206,0.2,0.4,16.9,98.0,5.8,3.2,7.8,20.83,8.5,7.1,1.4
tyreek-hill,25,3,12,4.833333333333333,2.5440562537456244,7.416666666666667,4.310033513661917,71.66666666666667,41.61997383735629,13.616666666666667,6.204142881082679,29.75,16.912150464483613,0.5833333333333334,0.7592027982620249,0.6666666666666666,0.6236095644623235,1.9166666666666667,3.1743328257901515,1.5833333333333333,2.691292543659191,1.6666666666666667,2.778888666755511,0.0,0.0,15.5,12.0,5.9,3.2,12.6,23.86,4.9,4.2,0.7
jamison-crowder,26,4,16,4.875,3.0388114452858046,7.625,3.276335605520289,52.0625,31.746001224563702,10.5125,3.929197596202054,20.0625,8.982404675252614,0.375,0.5994789404140899,0.0625,0.2420614591379635,0.25,0.9682458365518544,0.25,0.9682458365518544,0.25,0.9682458365518544,0.0,0.0,23.4,126.0,6.0,3.0,7.9,24.13,4.7,3.9,0.8
dk-metcalf,21,0,16,3.625,1.899835519196333,6.25,2.680951323690902,56.25,31.659319323068207,14.99375,7.805564421456017,27.3125,15.344863757948456,0.4375,0.6091746465505602,0.125,0.3307189138830738,0.6875,1.8946882989030147,0.6875,1.8946882989030147,0.6875,1.8946882989030147,0.0,0.0,19.3,53.0,4.9,2.5,13.4,28.51,5.0,3.4,1.6
