name,age,years_played,games_played,avg_qbr,std_qbr,avg_cmp,std_cmp,avg_att,std_att,avg_pct,std_pct,avg_pyds,std_pyds,avg_ypa,std_ypa,avg_TD,std_TD,avg_INT,std_INT,avg_SACK,std_SACK,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,ADP
matt-ryan,34,11,14,93.19285714285716,22.315064235550267,27.0,5.988083404324196,40.35714285714285,7.431661445244575,66.91428571428571,9.24359679089547,296.6428571428572,67.58867946510522,7.4142857142857155,1.5851350293348796,1.7857142857142858,1.2058530725810097,1.0,0.9258200997725514,3.0,2.4201534780139164,2.2857142857142856,1.0973065354098013,10.5,8.364465656232065,4.871428571428572,3.479209387085473,7.071428571428571,3.2174587513014883,0.0714285714285714,0.2575393768188563,82.0
tom-brady,41,17,15,89.15333333333332,21.75965277500744,23.8,5.1406873729752,38.93333333333333,5.904423953462541,61.24,10.247783500185134,255.7333333333333,69.04343238538735,6.613333333333333,1.8036506190378323,1.4666666666666666,1.0241527663824812,0.4666666666666667,0.4988876515698588,1.7333333333333334,1.2892719737209144,1.7333333333333334,1.8427033281447,2.2666666666666666,6.1586434292698655,1.36,4.072804111829261,2.1333333333333333,5.213657278937908,0.2,0.5416025603090641,61.0
jared-goff,24,3,15,84.90666666666667,20.54450345523644,24.33333333333333,8.162243700247023,38.73333333333333,11.766997162497416,62.52666666666667,6.202307814210951,287.93333333333334,105.5344914655341,7.56,2.2558959786893245,1.2666666666666666,0.85374989832438,1.0666666666666669,0.9285592184789412,1.4,1.4047538337136989,2.066666666666667,1.5260697523012796,2.4,4.454211490264018,0.7133333333333333,1.2208558018410238,2.1333333333333333,2.526306042866189,0.1333333333333333,0.3399346342395189,153.0
jimmy-garoppolo,27,5,15,101.43333333333337,26.695209724259936,20.73333333333333,5.720916787446648,30.266666666666666,7.97050116924205,68.69333333333334,7.5301586230894815,246.2,74.93481611818812,8.300000000000002,2.0405881505095533,1.8,1.32664991614216,0.8666666666666667,0.7180219742846006,2.2666666666666666,1.5260697523012796,2.933333333333333,1.5260697523012796,3.8666666666666663,5.289822513300632,1.4533333333333334,2.05778737698745,3.6,3.3625387234449318,0.0666666666666666,0.2494438257849294,152.0
philip-rivers,37,13,15,92.79333333333334,28.69284386199613,23.933333333333334,4.697043987682276,36.333333333333336,8.194849330863597,66.66666666666667,7.37596697992127,288.93333333333334,46.255041767237536,8.326666666666666,2.2245498920505744,1.4,1.0198039027185568,1.2,1.2754084313139329,2.066666666666667,1.5260697523012796,0.7333333333333333,0.8537498983243799,1.6,3.929376540877701,1.3,3.501428280002319,1.6,3.7912179221634488,0.0,0.0,190.0
kirk-cousins,30,7,14,111.58571428571427,24.82791795950844,20.785714285714285,5.280402736650348,29.5,7.2776566087089956,71.81428571428572,12.332932517848134,248.64285714285717,64.1912401042576,8.642857142857142,1.773501091752971,1.7857142857142858,1.263700429496724,0.3571428571428571,0.6102859818083951,1.6428571428571428,1.8364228760260628,2.2142857142857144,1.6115020246683538,4.5,6.253570408745939,2.05,2.7481812167322595,3.928571428571429,4.495462565017018,0.0714285714285714,0.2575393768188563,173.0
baker-mayfield,24,1,15,76.7,25.86689003339984,20.33333333333333,5.605552802554109,33.8,5.588082557252235,59.07333333333333,9.438747562868476,236.53333333333333,63.64470825519501,7.006666666666666,1.7838036762927572,1.2666666666666666,0.7717224601860151,1.2,0.9092121131323904,2.2666666666666666,1.730767331432956,1.6,1.1430952132988166,7.466666666666667,10.118410063948891,3.56,4.856034047107441,5.2,6.101365967278693,0.2,0.4000000000000001,165.0
gardner-minshew,23,0,13,90.13846153846154,21.18575495510489,19.846153846153847,4.417555081649609,33.15384615384615,6.074488314584503,60.23846153846153,11.163921179167945,228.92307692307693,63.55550153328922,6.938461538461539,1.6188972797453405,1.3846153846153846,0.8355984993230934,0.3846153846153846,0.6249260311258431,2.3076923076923075,1.2015768732164085,4.769230769230769,2.576636034529881,25.923076923076923,17.14849864907012,5.023076923076923,2.249496985192585,10.384615384615383,5.968358381929484,0.0,0.0,187.0
ryan-tannehill,30,7,11,107.03636363636362,41.348392795571385,17.09090909090909,6.894721900312197,24.181818181818183,10.43436788012821,65.34545454545456,21.79075548927545,231.27272727272728,101.89307310660249,8.972727272727273,3.784199425143474,1.818181818181818,1.02851895445316,0.5454545454545454,0.6555547773570889,2.8181818181818183,1.898237547074645,3.4545454545454546,1.6713433009863852,15.0,15.33267455765331,4.6,4.049017838259725,10.181818181818182,7.696731086733354,0.3636363636363636,0.642824346533225,163.0
drew-brees,40,15,10,108.54,28.04443616833828,26.2,8.761278445523804,34.8,11.079711187571633,74.18,9.983065661408824,272.6,96.53310313048058,7.81,1.2202049008260865,2.4,1.5620499351813308,0.4,0.4898979485566356,1.2,1.8867962264113207,0.8,1.1661903789690602,-0.3,1.0049875621120892,-0.1,0.5385164807134505,0.1,0.8306623862918076,0.1,0.3,76.0
daniel-jones,22,0,12,86.74166666666666,29.099669480749927,21.33333333333333,6.561673228343175,34.333333333333336,9.78377341429278,62.958333333333336,7.582486216421512,227.16666666666663,91.27781159125632,6.425000000000002,1.6356064114979905,1.9166666666666667,1.4976833963009524,0.9166666666666666,1.1149240133549712,2.833333333333333,2.6087459737497545,3.5,1.384437310486346,21.08333333333333,14.115348226507043,6.091666666666668,3.1380615920589507,11.583333333333334,5.392252672945593,0.1666666666666666,0.5527707983925666,141.0
