name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,ADP
dion-lewis,26,2,16,2.0,1.9364916731037085,2.1875,2.037730048362638,13.375,14.469256200648324,5.15625,4.073844736548019,7.5,5.979130371550699,0.1875,0.3903123748998999,11.25,6.94172168845741,56.0,36.55133376499413,4.81875,1.4740330516986382,16.25,10.31079531365064,0.375,0.4841229182759271,6.1,58.0
lamar-miller,26,3,16,2.25,1.1989578808281798,2.8125,1.4670868242881878,20.4375,15.41901727575399,8.350000000000001,4.499305501963608,12.625,8.659351881058997,0.1875,0.3903123748998999,14.875,4.136348026943574,55.5,11.26388032606881,3.925,1.00093706095838,14.0,3.5,0.1875,0.3903123748998999,8.6,57.0
cj-anderson,26,1,16,1.75,1.8874586088176877,2.5,2.3717082451262845,14.0,15.301143748099356,5.6875,5.29904177658565,7.875,7.498958260985321,0.0625,0.2420614591379635,15.3125,6.649424317187165,62.9375,38.37067361605735,3.90625,1.3174163872899107,15.6875,10.184048495073068,0.1875,0.3903123748998999,7.1,168.0
tevin-coleman,24,2,15,1.8,1.4236104336041748,2.6,2.122891110412088,19.933333333333334,19.18842243530081,8.906666666666666,6.994041908812259,13.066666666666666,10.963373365691584,0.2,0.4000000000000001,10.4,5.135497379352202,41.86666666666667,28.436752432176373,4.033333333333334,2.250827008506478,16.6,13.016912076218386,0.3333333333333333,0.5962847939999438,7.4,72.0
latavius-murray,27,3,16,0.9375,0.899218410621135,1.0625,0.899218410621135,6.4375,7.968443621561239,4.75,6.8145065852195055,5.4375,7.061946880995354,0.0,0.0,13.5,6.59545297913646,52.625,36.91015273606979,3.5625,1.4848716274479756,16.4375,12.722857137844471,0.5,0.7071067811865476,3.2,159.0
theo-riddick,26,2,16,3.3125,1.6092991486979666,4.4375,2.474084426611186,27.75,18.589311445021306,8.131250000000001,3.231431329534948,17.0625,13.745311700721814,0.125,0.3307189138830738,5.25,3.092329219213245,17.875,13.425139664077989,3.1375,2.2923445966957066,8.4375,5.841326369070641,0.1875,0.5266343608235224,12.5,172.0
giovani-bernard,25,4,16,2.6875,2.0832291640623697,3.75,2.384848003542364,24.3125,22.07011200130167,9.4,10.007746999200169,15.3125,15.671306383004575,0.125,0.3307189138830738,6.5625,5.905175166749925,28.625,32.25847756792003,3.5875,2.6030931120495864,11.125,8.709728755822422,0.125,0.3307189138830738,11.8,167.0
chris-thompson,26,2,10,3.9,2.022374841615669,5.4,2.2891046284519194,51.0,44.25607302958544,12.52,7.727198716223105,25.6,20.49975609611002,0.4,0.4898979485566356,6.4,3.7735924528226414,29.4,18.69866305381216,5.98,6.691606683002221,16.8,15.190786681406596,0.2,0.6000000000000001,10.0,80.0
tarik-cohen,21,-2,16,3.3125,2.310810193417019,4.4375,2.9361699116365862,22.0625,19.838311262554583,9.45,16.1701886198028,13.625,15.627999712055283,0.0625,0.2420614591379635,5.4375,4.182833220438032,23.125,28.01757261077412,3.09375,3.862717429155283,11.8125,12.991433475563811,0.125,0.3307189138830738,15.0,105.0
jamaal-williams,22,0,16,1.5625,1.9675095298371488,2.125,2.341874249399399,16.375,23.41974327357155,5.09375,5.710458469991704,10.6875,14.831211809896049,0.125,0.3307189138830738,9.5625,8.67445063101981,34.75,34.64733034448686,2.95625,1.6699433935017078,7.375,6.223694642252301,0.25,0.4330127018922193,6.0,98.0
kenyan-drake,23,1,16,2.0,2.091650066335189,3.0,2.850438562747845,14.9375,20.53189211324665,4.24375,4.46527837178154,8.125,11.45030021440486,0.0625,0.2420614591379635,8.3125,7.78394782549318,40.25,42.47278540430331,3.3375,3.558243070674065,18.5,19.48075973877816,0.1875,0.3903123748998999,8.0,35.0
joe-mixon,20,0,14,2.142857142857143,1.124858267715973,2.4285714285714284,1.178030178747903,20.5,24.245028945567967,7.771428571428571,7.780417595424019,13.5,17.360669835661792,0.0,0.0,12.714285714285714,5.674864018868916,44.71428571428572,28.713930346059684,3.5928571428571425,1.5718343631903848,12.285714285714286,5.547567953985029,0.2857142857142857,0.4517539514526256,6.7,27.0
derrick-henry,23,1,16,0.6875,0.7680128579652817,1.0625,1.0879309490955758,8.5,15.68040178056672,7.5625,15.709148409446009,8.0,15.668439615992398,0.0625,0.2420614591379635,11.0,5.766281297335398,46.5,36.556463176844666,4.06875,2.305623221061932,20.4375,20.77549262352159,0.3125,0.4635124054434789,3.4,42.0
james-white,25,2,14,4.0,2.7255405754769875,5.142857142857143,3.0438965360946453,30.642857142857142,27.23602431354773,6.707142857142857,4.253144095122754,13.214285714285714,8.784552768749174,0.2142857142857142,0.4103259033241448,3.071428571428572,2.548508967844468,12.214285714285714,10.10076780270102,3.5500000000000003,2.2015416676242388,5.357142857142857,3.1306581429730183,0.0,0.0,12.3,121.0
rex-burkhead,27,4,10,3.0,1.8439088914585773,3.6,1.9078784028338915,25.4,19.72916622668074,8.05,3.240138885912146,11.7,5.9,0.3,0.4582575694955839,6.4,3.666060555964672,26.4,21.896118377465903,3.72,1.476346842716846,10.6,8.811356308764276,0.5,0.6708203932499369,6.1,66.0
legarrette-blount,30,3,16,0.5,0.6123724356957945,0.5,0.6123724356957945,3.125,5.655473012931809,2.78125,5.323793143755681,2.875,5.383713866839507,0.0625,0.2420614591379635,10.8125,4.418975418578383,47.875,33.85608327908,3.88125,1.965075936827888,18.4375,16.65821400240734,0.125,0.3307189138830738,1.4,144.0
matt-breida,22,0,16,1.3125,1.1575161985907585,2.25,1.8200274723201293,11.25,11.755317945508748,6.64375,7.530103647195037,8.1875,8.427772170034023,0.0625,0.2420614591379635,6.5625,3.904624661859319,29.0625,22.590010928505546,4.55,2.8051292305346647,11.5625,8.35141267990033,0.125,0.3307189138830738,5.9,127.0
marlon-mack,21,0,14,1.5,1.118033988749895,2.357142857142857,1.6303874586447609,16.071428571428573,13.577630162010104,8.392857142857142,6.299599112609614,12.714285714285714,10.552105892925365,0.0714285714285714,0.2575393768188563,6.642857142857143,2.4085307571553383,25.571428571428573,21.32307363837951,4.092857142857143,2.888762534302852,14.571428571428571,8.933998350716898,0.2142857142857142,0.4103259033241448,6.8,153.0
corey-clement,22,0,16,0.625,0.7806247497997998,0.9375,0.9662265521087692,7.6875,10.33633608925329,6.4375,8.631111964862928,7.25,9.496709956611287,0.125,0.3307189138830738,4.625,3.62068708949006,20.0625,17.904150182290138,3.65625,2.5386927615408683,9.8125,7.633959899685091,0.25,0.5590169943749475,2.7,160.0
ty-montgomery,24,2,8,2.875,2.666341125962693,3.875,3.6550478793033614,21.625,23.02138951062685,7.65,5.598214000911362,10.625,8.01463505095522,0.125,0.3307189138830738,8.875,4.702060718451007,34.125,14.39997829859476,4.3375,2.3451745670631854,11.5,9.772410142846033,0.375,0.4841229182759271,5.5,154.0
peyton-barber,23,0,16,1.0,1.274754878398196,1.1875,1.5090870584562046,7.125,11.123595416950405,2.925,3.827940046552453,4.6875,8.38688522337107,0.0,0.0,6.75,7.180703308172536,26.4375,32.07212331215381,1.9125,2.0796258677944937,7.0625,9.39061200082295,0.1875,0.5266343608235224,3.1,97.0
aaron-jones,22,0,12,0.75,0.924211375534118,1.5,1.9364916731037085,1.8333333333333333,3.261730965130155,1.4833333333333334,2.845122532022518,1.8333333333333333,2.8528737947706158,0.0,0.0,6.75,6.520800053163211,37.333333333333336,43.981688108676416,5.6000000000000005,6.042902172521632,12.333333333333334,12.892719737209145,0.3333333333333333,0.4714045207910317,3.2,146.0
adrian-peterson-min,32,9,10,1.1,1.2206555615733703,1.9,1.7578395831246945,7.0,6.870225614927067,4.9,5.356304696336832,5.6,5.425863986500215,0.0,0.0,15.6,9.830564581955606,52.9,50.553832693476366,2.97,1.3069429979918787,11.4,7.578918128598566,0.2,0.6000000000000001,3.2,90.0
alfred-morris,28,3,14,0.5,0.9063269671749656,0.6428571428571429,0.8949974347244049,3.2142857142857144,6.731361265731911,2.1214285714285714,4.194244112288814,2.4285714285714284,4.546808703668442,0.0,0.0,8.214285714285714,8.169442815661748,39.07142857142857,38.67532303995531,6.378571428571428,9.233493269569411,14.285714285714286,16.72222033885526,0.0714285714285714,0.2575393768188563,1.8,68.0
dalvin-cook,21,0,4,2.75,1.479019945774904,4.0,1.0,22.5,28.82273408266468,6.425,5.411272955599265,12.25,13.935117509371782,0.0,0.0,18.5,6.264982043070834,88.5,25.79244075305786,4.949999999999999,0.8200609733428361,23.5,8.381527307120106,0.5,0.5,3.0,13.0
chris-carson,22,-1,4,1.75,0.82915619758885,2.0,0.7071067811865476,14.75,6.684870978560469,8.5,1.118033988749895,9.0,1.224744871391589,0.25,0.4330127018922193,12.25,5.018714974971183,52.0,23.843238035132728,4.449999999999999,1.3219304066402289,16.0,8.689073598491383,0.0,0.0,1.4,82.0
