name,age,years_played,games_played,avg_rec,avg_tgt,avg_yds,avg_ypr,avg_lg,avg_TD,avg_rush,avg_ryds,avg_rypa,avg_rlg,avg_rTD,TM TGT %,ADP,CUSHAverage Cushion (CUSH),SEPAverage Separation (SEP),TAYAverage Targeted Air Yards (TAY),TAY%% Share of Team's Air Yards (TAY%),YAC/RYAC/Reception (YAC/R),xYAC/RExpected YAC/Reception (EYAC/R),+/-Avg .YAC Above Expectation
deandre-hopkins,30,9,9,7.111111111111111,10.666666666666666,79.66666666666667,10.911111111111111,21.444444444444443,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,14.5,45.7,6.9,2.8,9.9,21.86,2.9,2.9,0.0
parris-campbell,25,3,17,3.7058823529411766,5.352941176470588,36.64705882352941,9.741176470588234,19.352941176470587,0.1764705882352941,0.2941176470588235,3.411764705882353,3.411764705882353,3.411764705882353,0.0,15.1,190.3,6.5,3.5,6.4,15.13,4.5,4.0,0.5
brandin-cooks,28,8,13,4.384615384615385,7.153846153846154,53.76923076923077,12.538461538461538,26.923076923076923,0.2307692307692307,0.1538461538461538,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.0,16.1,92.3,7.0,2.9,10.9,24.35,3.9,4.5,-0.6
jahan-dotson,22,0,12,2.9166666666666665,5.083333333333333,43.583333333333336,13.375,24.416666666666668,0.5833333333333334,0.1666666666666666,-0.5833333333333334,-0.5833333333333334,-0.5833333333333334,0.0,11.0,85.0,6.0,2.8,14.7,20.0,4.3,3.7,0.6
darius-slayton,25,3,13,3.5384615384615383,5.461538461538462,55.69230769230769,16.307692307692307,28.46153846153846,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,13.7,232.7,6.7,2.5,12.3,27.93,5.9,4.5,1.5
richie-james,26,4,16,3.5625,4.375,35.5625,8.206249999999999,14.25,0.25,0.125,0.375,0.375,0.375,0.0,13.5,236.7,6.7,3.2,7.2,16.08,3.3,4.1,-0.8
marquez-valdesscantling,27,4,17,2.4705882352941178,4.764705882352941,40.41176470588236,14.923529411764704,21.47058823529412,0.1176470588235294,0.0588235294117647,-0.1764705882352941,-0.1764705882352941,-0.1764705882352941,0.0,12.4,186.7,6.4,2.8,13.9,24.76,3.4,4.4,-1.0
russell-gage,26,4,13,3.923076923076923,5.384615384615385,32.76923076923077,8.815384615384614,13.461538461538462,0.3846153846153846,0.0,0.0,0.0,0.0,0.0,9.3,279.5,7.0,3.3,5.9,8.18,3.5,4.0,-0.5
marvin-jones,32,9,16,2.875,5.0625,33.0625,11.56875,15.8125,0.1875,0.0,0.0,0.0,0.0,0.0,13.6,249.0,5.9,2.1,13.6,25.83,2.3,2.5,-0.2
alec-pierce,22,0,16,2.5625,4.875,37.0625,11.3875,19.875,0.125,0.0,0.0,0.0,0.0,0.0,12.9,168.3,6.1,1.9,12.0,24.3,2.8,2.5,0.3
olamide-zaccheaus,24,3,17,2.3529411764705883,3.588235294117647,31.352941176470587,11.947058823529414,18.47058823529412,0.1764705882352941,0.1176470588235294,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.0,14.7,269.0,6.7,3.3,11.4,18.01,5.0,4.4,0.7
robert-woods,30,9,17,3.117647058823529,5.352941176470588,31.0,9.070588235294116,13.882352941176473,0.1176470588235294,0.0,0.0,0.0,0.0,0.0,20.0,228.7,6.9,2.7,8.6,22.77,3.0,2.9,0.1
