NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Total,Avg,TM TGT %,Catches,Catch %,TD
"Emmanuel Sanders","WR","DEN",1,7,13,5,9,1,3,6,5,9,4,5,1,6,9,4,6,4,97,5.7,20.3,66,68,5
"James White","RB","NE",2,7,4,"",10,9,9,8,5,3,"",7,3,11,7,4,5,3,95,6.3,15.3,72,75.8,5
"Jarvis Landry","WR","CLE",1,7,7,9,10,6,5,"",10,13,10,7,13,11,7,8,9,6,138,8.6,25.6,83,60.1,6
"Michael Gallup","WR","DAL",1,7,8,"","",14,7,4,"",6,10,13,6,7,10,3,11,7,113,8.1,18.8,66,58.4,6
"Mike Davis","RB","CAR",1,7,"","","","","","",1,"","","","","","","","","",8,0.7,1.3,7,87.5,0
"Robby Anderson","WR","NYJ",1,7,6,5,"",3,8,8,6,4,3,3,5,10,11,6,4,7,96,6,18.4,52,54.2,5
"Sterling Shepard","WR","NYG",1,7,"",9,9,9,"","","","","","",9,6,7,11,6,10,83,8.3,13.7,57,68.7,3
"Ted Ginn Jr.","WR","NO","",7,"",5,5,2,6,5,3,"",3,4,5,1,6,1,1,2,56,3.5,9.6,30,53.6,2
"Terry McLaurin","WR","WAS",1,7,9,8,"",7,7,2,6,6,"",4,12,4,7,5,9,"",93,6.6,19.4,58,62.4,7
"Tyrell Williams","WR","OAK",1,7,7,3,7,"","","",6,4,5,4,6,4,4,3,4,"",64,4.6,12.2,42,65.6,6
"Vernon Davis","TE","WAS","",7,4,4,4,"","","","","","","","","","","","","",19,4.8,4,10,52.6,1
"Zach Ertz","TE","PHI",2,7,16,7,8,7,9,6,4,11,"",11,14,6,13,10,6,"",135,9,22,88,65.2,6
"Brandin Cooks","WR","LAR",1,6,4,12,9,3,3,7,1,"","","",4,2,2,8,6,5,72,5.1,11.4,42,58.3,2
"Calvin Ridley","WR","ATL",1,6,10,1,6,9,6,6,7,"",5,8,14,10,5,"","","",93,7.2,13.6,63,67.7,7
"Chris Godwin","WR","TB",1,6,9,4,14,9,12,"",8,9,12,6,8,6,9,8,"","",121,8.6,19,86,71.1,9
"Damien Williams","RB","KC",2,6,5,"","",4,1,3,"",2,5,1,"","","","",3,7,37,3.4,6.4,30,81.1,2
"David Njoku","TE","CLE",2,6,1,"","","","","","","","","","","",3,"","","",10,2.5,1.9,5,50,1
"Dede Westbrook","WR","JAX",2,6,5,9,6,11,8,9,1,"","",6,9,8,7,4,4,8,101,6.7,17.1,66,65.3,3
"Delanie Walker","TE","TEN","",6,6,9,2,2,6,"","","","","","","","","","","",31,4.4,6.9,21,67.7,2
"Devin Singletary","RB","BUF",2,6,"","","","","","",6,4,6,1,2,4,8,3,1,"",41,3.4,8,29,70.7,2
"DK Metcalf","WR","SEA",1,6,7,6,4,3,5,9,5,9,10,"",6,7,6,4,1,12,100,6.2,19.3,58,58,7
"James Washington","WR","PIT",2,6,3,5,1,6,"","",6,4,7,5,7,4,4,11,8,3,80,5.3,15.7,44,55,3
"Leonard Fournette","RB","JAX",2,6,6,8,3,7,6,2,7,6,"",7,12,11,6,7,6,"",100,6.7,17,76,76,0
"Marquez Valdes-Scantling","WR","GB",1,6,5,10,7,4,2,3,2,2,1,"",3,2,"",1,1,7,56,3.5,9.8,26,46.4,2
"Mike Gesicki","TE","MIA",1,6,2,3,"","",7,4,3,6,6,6,7,7,5,8,12,7,89,5.6,14.5,51,57.3,5
"Mohamed Sanu Sr.","WR","ATL",1,6,7,6,12,5,4,2,5,14,"",4,"",5,1,8,5,5,89,5.9,14.4,59,66.3,2
"Phillip Lindsay","RB","DEN",1,6,7,5,1,4,3,1,5,"","",2,3,3,2,2,3,1,48,3,9.5,35,72.9,0
"Ryan Switzer","WR","PIT",3,6,4,"","","",1,"","","","","","","","","","","",11,1.2,2.2,8,72.7,0
"Saquon Barkley","RB","NYG",1,6,7,5,"","","",5,10,8,5,"",3,7,4,5,4,4,73,5.6,12,52,71.2,2
"Trey Quinn","WR","WAS",12,6,7,7,4,4,4,3,3,3,"",4,1,1,"","","","",47,3.9,9.8,26,55.3,1
"Breshad Perriman","WR","TB",2,5,4,2,1,"","","",4,8,4,3,1,6,5,6,12,8,69,4.9,11.1,36,52.2,6
"C.J. Uzomah","TE","CIN",1,5,"",1,1,2,3,"",2,"","",5,1,6,2,2,4,6,40,2.5,6.5,27,67.5,2
"Damion Willis","WR","CIN","",5,3,"",1,4,1,"","","","",1,"",1,"","","","",16,1.6,2.6,9,56.2,0
"Dare Ogunbowale","RB","TB",3,5,1,3,4,3,5,"",3,1,3,4,1,2,5,1,5,"",46,2.9,7.5,35,76.1,0
"Devin Funchess","WR","IND",4,5,"","","","","","","","","","","","","","","","",5,5,1,3,60,0
"Diontae Johnson","WR","PIT",1,5,4,6,6,8,2,"",7,2,6,4,6,5,8,7,9,7,92,5.8,18,59,64.1,5
"Duke Johnson","RB","HOU",4,5,1,3,3,1,4,5,5,5,"",2,1,6,8,3,4,6,62,3.9,11.6,44,71,3
"Hunter Henry","TE","LAC",2,5,"","","","",9,8,6,10,7,9,"",3,4,2,7,6,76,6.3,12.7,55,72.4,5
"James O'Shaughnessy","TE","JAX",1,5,4,3,4,4,"","","","","","","","","","","","",20,4,3.4,14,70,2
"Jimmy Graham","TE","GB",2,5,1,1,9,3,5,4,5,4,3,"",2,1,5,4,1,7,60,3.8,10.5,38,63.3,3
"Marquise Brown","WR","BAL",1,5,13,9,7,5,"","","",4,4,4,7,2,3,4,2,2,71,5.1,16.1,46,64.8,7
"Mike Evans","WR","TB",1,5,8,15,7,3,17,"",12,16,6,8,8,11,2,"","","",118,9.1,18.7,67,56.8,8
"Nelson Agholor","WR","PHI",1,5,11,12,1,3,7,3,4,8,"",9,"",6,"","","","",69,6.3,11.3,39,56.5,3
"O.J. Howard","TE","TB",2,5,"",4,3,2,4,"","","",7,1,2,6,5,7,7,"",53,3.8,8.4,34,64.2,1
"Preston Williams","WR","MIA",2,5,6,12,7,"",6,8,7,9,"","","","","","","","",60,7.5,9.8,32,53.3,3
"Randall Cobb","WR","DAL",1,5,6,4,6,6,"",3,"",8,8,7,7,3,5,2,7,6,83,5.5,13.9,55,66.3,3
"Tyler Eifert","TE","CIN",1,5,5,1,5,4,2,2,9,"",4,4,1,2,4,5,8,2,63,3.9,10.2,43,68.3,3
"Tyler Higbee","TE","LAR",1,5,3,"",7,3,3,1,1,"",4,"",6,8,11,14,11,12,89,5.9,14.1,69,77.5,3
"A.J. Brown","WR","TEN",1,4,5,5,3,2,4,8,3,7,4,"",5,4,7,13,2,8,84,5.2,18.8,52,61.9,8
"Albert Wilson","WR","MIA",1,4,"","","","",6,2,2,2,3,6,7,5,2,8,7,8,62,4.8,10.1,43,69.4,1
"Alex Erickson","WR","CIN",2,4,3,1,"",1,6,14,7,"",2,5,8,2,7,5,9,4,78,4.9,12.7,43,55.1,0
"Curtis Samuel","WR","CAR",1,4,13,7,7,6,6,"",11,6,8,6,4,7,4,7,5,4,105,6.6,16.7,54,51.4,6
"DaeSean Hamilton","WR","DEN",3,4,6,"",5,"",2,5,1,"","","",1,3,4,9,6,6,52,3.2,10.3,28,53.8,1
"Devonta Freeman","RB","ATL",6,4,4,4,9,5,3,3,8,"",4,"","",5,4,3,10,4,70,5,10.2,59,84.3,4
"Dion Lewis","RB","TEN","",4,1,1,5,4,3,1,1,5,"","",2,1,1,1,2,"",32,2,7.1,25,78.1,1
"DJ Chark Jr.","WR","JAX",1,4,9,5,8,11,7,5,12,9,"",15,6,5,10,"",7,5,118,7.9,20,73,61.9,8
"Jakeem Grant Sr.","WR","MIA",2,4,7,7,1,"","","",3,5,2,3,1,"","","","","",33,3.3,5.2,19,57.6,0
"James Conner","RB","PIT",2,4,4,4,8,"",7,"",4,"","",2,"","","",5,"","",38,3.8,7.5,34,89.5,3
"Jason Witten","TE","DAL","",4,4,4,4,4,7,4,"",9,5,7,4,8,7,5,3,4,83,5.2,13.9,63,75.9,4
"Josh Gordon","WR","NE","",4,5,11,7,8,1,"","","",2,"",2,1,5,1,"","",47,4.3,9.1,27,57.4,1
"Marvin Jones Jr.","WR","DET",1,4,6,9,5,"",5,13,5,10,5,5,11,6,7,"","","",91,7,16.1,62,68.1,9
"Nick Chubb","RB","CLE",1,4,4,7,4,1,6,"",1,5,4,1,3,2,1,3,1,2,49,3.1,9.1,36,73.5,0
"Noah Fant","TE","DEN",1,4,4,3,4,1,3,5,9,4,"",10,5,3,4,3,2,2,66,4.1,13.1,40,60.6,3
"Nyheim Hines","RB","IND",2,4,2,4,6,5,"",2,3,3,7,4,3,2,5,2,1,5,58,3.6,11.3,44,75.9,0
"Peyton Barber","RB","TB",3,4,1,2,1,1,"","",3,"",1,2,1,"",2,2,"",4,24,1.5,3.8,16,66.7,1
"Phillip Dorsett II","WR","NE",2,4,3,7,9,"","",4,6,4,"",5,"",6,2,"","",4,54,3.9,8.7,29,53.7,5
"Ryan Griffin","TE","NYJ",4,4,1,1,"",1,3,2,4,8,1,5,3,7,1,"","","",41,3.2,7.9,34,82.9,5
"Vance McDonald","TE","PIT","",4,7,2,"",3,1,"",4,7,7,7,1,3,1,"",6,2,55,3.9,10.8,38,69.1,3
"Zay Jones","WR","BUF",2,4,3,3,8,"","","",2,4,3,3,2,3,3,2,3,2,45,3,8.6,27,60,0
"Adam Thielen","WR","MIN",1,3,8,5,6,8,8,2,"",1,"","","","","",3,4,"",48,4.8,10.3,30,62.5,6
"Blake Jarwin","TE","DAL",1,3,1,3,3,"",4,1,"",1,4,2,4,3,7,3,1,1,41,2.6,6.9,31,75.6,3
"Cordarrelle Patterson","WR","CHI",2,3,"",1,1,"","",3,2,1,"","","","",1,4,1,"",17,1.1,2.9,11,64.7,0
"Corey Davis","TE","TEN",1,3,5,4,6,4,5,7,6,5,"","",3,2,4,6,4,5,69,4.6,15.4,43,62.3,2
"Dallas Goedert","TE","PHI",1,3,"",1,3,3,8,4,5,5,"",6,8,7,6,6,12,10,87,5.8,14.2,58,66.7,5
"Darren Sproles","RB","PHI","",3,3,1,"",1,"","","",2,"","","","","","","","",10,1.7,1.6,6,60,0
"Deebo Samuel","WR","SF",1,3,7,4,"",3,5,"",3,7,11,10,2,4,8,3,6,5,81,5.4,16.9,57,70.4,3
"Derrius Guice","RB","WAS","",3,"","","","","","","","","",2,2,2,"","","","",9,1.8,1.9,7,77.8,1
"Eric Ebron","TE","IND",1,3,4,4,5,4,"",5,4,2,12,4,5,"","","","","",52,4.7,10.1,31,59.6,3
"Giovani Bernard","RB","CIN",3,3,3,2,6,3,3,3,2,"",1,3,3,2,3,2,3,1,43,2.7,7,30,69.8,0
"Hayden Hurst","TE","BAL",2,3,1,5,2,4,1,2,"",2,2,2,1,4,3,2,3,2,39,2.4,8.9,30,76.9,2
"Hunter Renfrow","WR","OAK",1,3,8,4,3,5,"",3,4,7,5,6,5,"","","",9,9,71,5.5,13.6,49,69,4
"Jared Cook","TE","NO",1,3,7,2,6,6,3,"","","",10,2,8,6,2,4,4,2,65,4.6,11.2,43,66.2,9
"Joe Mixon","RB","CIN",1,3,5,2,5,1,3,2,4,"",3,3,"",4,4,3,2,1,45,2.8,7.3,35,77.8,3
"Jordan Howard","RB","PHI",4,3,1,1,4,"","",2,2,1,"","","","","","","","",14,1.4,2.3,10,71.4,1
"Justin Jackson","RB","LAC",2,3,1,4,"","","","","",1,"","","","","",2,"","",11,1.6,1.8,9,81.8,0
"Kendrick Bourne","WR","SF",1,3,2,2,"",2,1,4,1,1,8,6,2,3,4,2,3,"",44,2.8,9.2,30,68.2,5
"Kenny Stills","WR","HOU",1,3,3,6,2,"","",5,5,4,"",7,2,4,2,3,9,"",55,4.2,10.3,40,72.7,4
"Kenyan Drake","RB","ARI",2,3,6,6,5,"",9,4,"",4,7,7,"",5,3,1,4,4,68,4.9,12.3,50,73.5,0
"Latavius Murray","RB","NO",4,3,1,"",1,2,3,6,12,"",2,3,"","",3,3,3,1,43,2.7,7.4,34,79.1,1
"Marcedes Lewis","TE","GB",3,3,1,2,2,2,2,"",1,"","","","",2,1,1,1,1,19,1.2,3.3,15,78.9,1
"Marquise Goodwin","WR","SF",2,3,3,2,"",4,3,1,"","",3,2,"","","","","","",21,2.3,4.4,12,57.1,1
"Mike Williams","WR","LAC",1,3,5,7,"",13,10,6,6,3,3,6,"",7,3,9,4,5,90,6,15.1,49,54.4,2
"Nick Boyle","TE","BAL",3,3,3,5,1,2,4,1,"",5,4,3,1,2,3,"",4,2,43,2.7,9.8,31,72.1,2
"Quincy Enunwa","WR","NYJ","",3,"","","","","","","","","","","","","","","","",3,3,0.6,1,33.3,0
"Rashard Higgins","WR","CLE",2,3,"","","","","","",2,1,1,"",1,3,"","","","",11,1.1,2,4,36.4,1
"Tevin Coleman","RB","SF",1,3,"","","","",3,2,2,4,4,4,4,1,"",1,"",2,30,2.1,6.3,21,70,1
"Travis Benjamin","WR","LAC",3,3,2,5,"",2,4,"","","","","","","","","","","",16,3.2,2.7,6,37.5,0
"Wayne Gallman","RB","NYG",3,3,1,"",7,"","","",1,1,2,"","","","","","","",15,1.5,2.5,11,73.3,1
"William Fuller V","WR","HOU",4,3,7,7,6,16,9,1,"","","","",11,2,"",7,2,"",71,6.5,13.3,49,69,3
"Willie Snead IV","WR","BAL",2,3,1,5,2,5,5,1,"",2,3,3,3,2,4,1,1,5,46,2.9,10.2,31,67.4,5
"Adam Shaheen","TE","CHI",5,2,3,1,2,"","",2,2,1,"","","","","","","","",13,1.6,2.2,9,69.2,0
"Allen Hurns","WR","MIA",3,2,2,2,"","",2,3,1,3,4,6,7,4,8,1,2,"",47,3.4,7.8,32,68.1,2
"Cameron Brate","TE","TB",3,2,2,3,3,1,4,"",6,"","",14,1,1,4,7,5,3,55,3.4,8.9,36,65.5,4
"Dalvin Cook","RB","MIN",1,2,3,5,8,6,2,2,6,7,7,6,"",4,2,3,"","",63,4.5,13.5,53,84.1,0
"Damion Ratley","WR","CLE",11,2,3,5,3,2,"","","","","","","","",1,2,3,3,24,1.8,4.5,12,50,1
"Dawson Knox","TE","BUF",1,2,4,4,3,5,"",5,1,2,6,3,2,4,4,1,4,"",50,3.3,9.7,28,56,2
"Demarcus Robinson","WR","KC",1,2,6,4,9,6,4,5,2,2,5,1,"","",2,3,2,2,55,3.4,9.5,32,58.2,4
"Deon Cain","WR","IND",11,2,1,3,5,1,"","","",2,"","",1,1,1,1,2,"",20,1.5,3.9,9,45,0
"D'Ernest Johnson","RB","CLE",4,2,4,"","",1,"","","","","","","","","","","","",7,0.4,1.3,6,85.7,0
"Derrick Henry","RB","TEN",1,2,3,2,1,"",3,1,1,3,2,"",1,3,1,1,"","",24,1.6,5.4,18,75,2
"Dontrell Hilliard","RB","CLE",17,2,"","",3,"",3,"",4,2,"","","","","","",1,"",15,1.1,2.8,12,80,0
"Ezekiel Elliott","RB","DAL",1,2,2,3,7,3,6,7,"","",3,3,4,10,5,4,7,5,71,4.4,11.9,54,76.1,2
"Foster Moreau","TE","OAK",2,2,"",2,3,4,"",3,2,2,"",2,1,1,3,"","","",25,1.9,4.8,21,84,5
"Jack Doyle","TE","IND",2,2,3,4,8,3,"",5,5,4,4,"",4,11,6,5,4,4,72,4.5,14,43,59.7,4
"Jamaal Williams","RB","GB",2,2,4,2,1,"",5,5,3,6,1,"",8,4,1,1,2,"",45,3.2,7.9,39,86.7,5
"Javon Wims","WR","CHI",11,2,"",1,5,1,"",1,"","","",2,2,6,3,"",9,7,39,2.4,6.7,18,46.2,1
"Jaylen Samuels","RB","PIT",5,2,1,"",8,4,"","","",13,7,6,3,2,2,1,6,2,57,4.1,11.2,47,82.5,1
"J.D. McKissic","RB","DET",2,2,"","",2,"",3,3,3,4,7,4,2,3,4,3,"",2,42,2.6,7.4,34,81,1
"Jordan Akins","TE","HOU",1,2,3,5,4,1,3,2,5,3,"",2,4,1,9,2,2,7,55,3.4,10.3,36,65.5,2
"Josh Reynolds","WR","LAR",1,2,1,2,2,1,1,1,8,"",5,6,2,4,"",4,3,1,43,2.7,6.8,21,48.8,1
"Kelvin Harmon","WR","WAS",3,2,"","",2,1,1,"",1,2,"",6,6,5,4,3,6,5,44,2.8,9.2,30,68.2,0
"Kerryon Johnson","RB","DET",14,2,3,1,3,"",4,1,"","","","","","","","",1,"",15,1.9,2.6,10,66.7,1
"Miles Sanders","RB","PHI",1,2,4,4,"",5,3,3,3,3,"",4,5,5,5,6,6,5,63,3.9,10.3,50,79.4,3
"Nick Vannett","TE","PIT",4,2,1,2,2,1,1,"",2,1,1,1,"",1,"",6,1,"",22,1.4,4.3,17,77.3,0
"Richie James","WR","SF",12,2,4,2,"","","",1,"","","",1,"","","","","","",10,0.6,2.1,6,60,1
"Russell Gage","WR","ATL",1,2,1,"","",2,1,2,9,"",5,4,10,9,4,6,6,13,74,4.6,10.8,49,66.2,1
"Ryan Izzo","TE","NE",3,2,"",1,"",2,4,"","","","","","","","","","","",9,1.5,1.5,6,66.7,1
"Stefon Diggs","WR","MIN",1,2,7,3,7,4,11,8,7,5,6,5,"",9,9,6,5,"",94,6.3,20.2,63,67,6
"Tajaé Sharpe","WR","TEN",2,2,2,3,"",1,2,3,3,4,1,"","","",4,2,6,2,35,2.3,7.8,25,71.4,4
"Taysom Hill","WR","NO",2,2,3,1,"","","",2,3,"",1,1,1,2,1,2,2,1,22,1.4,3.8,19,86.4,6
"Tommy Sweeney","TE","BUF",2,2,1,3,"",2,"","","","","","","","","","","",5,13,2.2,2.5,8,61.5,0
"Tre'Quan Smith","WR","NO",1,2,3,"","","","","","","",2,1,3,2,4,1,2,5,25,2.3,4.3,18,72,5
"Tyler Lockett","WR","SEA",1,2,12,14,4,4,5,7,6,18,4,"",2,3,6,9,7,7,110,6.9,21.3,82,74.5,8
"Tyreek Hill","WR","KC",1,2,"","","","",10,5,9,9,19,2,"",8,8,7,5,5,89,7.4,15.5,58,65.2,7
"Will Dissly","TE","SEA",2,2,5,7,8,4,1,"","","","","","","","","","","",27,4.5,5.2,23,85.2,4
"Aaron Jones","RB","GB",1,1,6,1,7,8,7,4,8,3,"","",1,6,7,"",3,6,68,4.2,11.9,49,72.1,3
"Adam Humphries","WR","TEN",1,1,2,9,3,6,6,4,6,4,1,"",3,2,"","","","",47,3.9,10.5,37,78.7,2
"Anthony Miller","WR","CHI",2,1,1,3,3,7,"",9,3,1,2,11,9,13,4,15,2,1,85,5.3,14.7,52,61.2,2
"Blake Bell","TE","KC",3,1,1,1,"","",1,1,1,1,"","","",1,"",2,3,2,15,1,2.6,8,53.3,0
"Carlos Hyde","RB","HOU",2,1,"","",5,1,1,1,1,"","",1,"",1,3,"",1,"",16,1,3,10,62.5,0
"Chad Beebe","WR","MIN",15,1,1,"","","","","","","","","","","","","","","",2,0.7,0.4,2,100,0
"Charles Clay","TE","ARI","",1,2,1,2,1,2,2,3,2,1,1,"",2,1,2,1,"",24,1.6,4.3,18,75,1
"Chase Edmonds","RB","ARI",1,1,2,2,"",4,2,4,4,"","","","","",2,"","","",21,1.6,3.8,12,57.1,1
"Dante Pettis","WR","SF",3,1,"",5,"",3,6,2,3,1,3,"","","","","","","",24,2.2,5,11,45.8,2
"Darren Fells","TE","HOU",2,1,3,6,1,2,7,2,6,3,"",3,2,3,4,2,3,"",48,3,9,34,70.8,7
"Darwin Thompson","RB","KC",5,1,"","","","","","",1,"",1,"","","",5,1,"",1,10,0.8,1.7,9,90,0
"David Montgomery","RB","CHI",1,1,3,3,5,1,"",2,5,4,"",3,3,2,1,1,1,"",35,2.2,6,25,71.4,1
"DeAndre Carter","WR","HOU",3,1,"","","","","","",3,1,"","","","","","",2,7,14,0.9,2.6,11,78.6,0
"Demetrius Harris","TE","CLE",3,1,1,2,"",2,"","",3,4,2,"",2,4,"",2,3,1,27,1.8,5,15,55.6,3
"Dontrelle Inman","WR","IND",3,1,2,3,7,"","","","","","","","","","",3,2,3,21,3,4.1,12,57.1,0
"Dwayne Harris","WR","OAK","",1,"","","","","","","","","","","","","","","","",1,0.3,0.2,1,100,0
"Gerald Everett","TE","LAR",1,1,4,2,8,11,5,10,3,"",12,1,2,"","","",1,"",60,4.6,9.5,37,61.7,2
"Ian Thomas","TE","CAR",2,1,"","","","","","",1,"","",1,2,4,10,3,3,5,30,1.9,4.7,16,53.3,1
"Ito Smith","RB","ATL",15,1,3,"",4,6,"","","","","","","","","","","","",14,2,2,11,78.6,0
"Jakobi Meyers","WR","NE",1,1,"",3,"",2,4,5,2,"","",2,9,7,3,"",3,"",41,2.7,6.6,26,63.4,0
