NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Total,Avg,TM TGT %,Catches,Catch %,TD
"Geronimo Allison","WR","GB",3,"",5,8,"",2,2,2,"",1,"","","",1,4,8,3,3,39,2.6,6.9,23,59,0
"Jamison Crowder","WR","WAS",3,7,5,6,1,"",5,6,13,"",11,8,10,7,6,7,4,7,103,6.9,19.1,66,64.1,3
"Jesse James","TE","PIT",3,8,5,4,3,5,"","",3,"",2,8,4,1,12,5,1,2,63,3.9,10.7,43,68.3,3
"Jermaine Kearse","WR","NYJ","",9,5,3,7,4,4,4,5,6,8,"",11,10,6,5,8,7,102,6.4,20,65,63.7,5
"Jeremy Maclin","WR","BAL","",4,5,5,6,8,"","",5,9,"",5,5,8,11,1,"","",72,6,12.7,40,55.6,3
"Jerick McKinnon","RB","MIN",3,3,5,2,2,6,6,3,10,"",2,7,3,5,3,8,2,1,68,4.2,12.9,51,75,2
"Kenny Stills","WR","MIA",2,"",5,10,3,2,4,9,10,4,8,8,6,13,4,6,6,7,105,6.6,17.4,58,55.2,6
"Leonard Fournette","RB","JAX",1,3,5,4,5,1,2,"","","",4,3,3,4,6,"",3,5,48,3.7,9.1,36,75,1
"Mark Ingram II","RB","NO",1,5,5,4,8,"",5,5,6,1,"",4,3,7,5,6,3,4,71,4.4,13.2,58,81.7,0
"Marvin Jones Jr.","WR","DET",1,2,5,6,5,8,14,"",11,11,2,7,9,8,4,5,5,5,107,6.7,18.8,61,57,9
"Odell Beckham Jr.","WR","NYG",2,"",5,13,15,8,"","","","","","","","","","","","",41,10.2,6.7,25,61,3
"Pierre Garcon","WR","SF","",10,5,10,8,11,12,7,4,"","","","","","","","","",67,8.4,11,40,59.7,0
"Paul Richardson","WR","SEA","",7,5,7,3,5,"",2,7,3,2,8,7,4,7,7,4,2,80,5,14.4,44,55,6
"Rishard Matthews","WR","TEN","",9,5,10,8,6,4,6,"",7,7,6,"","",5,8,4,2,87,6.2,17.5,53,60.9,4
"Tyler Ervin","RB","HOU","",5,5,1,"","","","","","","","","","","","","","",11,2.8,2.1,8,72.7,0
"Terrance Williams","WR","DAL","",7,5,4,6,3,"",3,3,9,4,6,5,3,6,5,4,4,77,4.8,15.6,53,68.8,0
"Antonio Gates","TE","LAC","",3,4,5,5,3,1,1,2,"",2,2,2,4,1,3,8,6,52,3.2,8.9,30,57.7,3
"Andre Holmes","WR","BUF","",1,4,2,1,1,"",3,4,3,"",3,"",1,"","","","",23,1.6,4.8,13,56.5,3
"Brandin Cooks","WR","NE",1,7,4,7,6,8,9,5,8,"",11,9,7,3,7,7,5,11,114,7.1,19.4,65,57,7
"Breshad Perriman","WR","BAL",2,4,4,1,4,3,2,"",2,7,"","",2,"","",2,4,"",35,3.2,6.2,10,28.6,0
"Chris Conley","WR","KC",2,4,4,1,4,3,"","","","","","","","","","","","",16,3.2,2.9,11,68.8,0
"Coby Fleener","TE","NO","",6,4,1,4,"",1,3,1,2,1,5,2,"","","","","",30,2.7,5.6,22,73.3,2
"Chris Ivory","RB","JAX","",2,4,2,3,"",10,"","",4,2,"","",1,"","","","",28,2,5.3,21,75,1
"David Njoku","TE","CLE",2,2,4,4,2,3,5,5,7,"",6,1,4,6,2,3,3,3,60,3.8,10.5,32,53.3,4
"Darren Sproles","RB","PHI","",8,4,"","","","","","","","","","","","","","","",12,4,2.1,7,58.3,0
"Delanie Walker","TE","TEN","",9,4,6,7,5,8,10,"",5,9,9,5,5,9,10,5,5,111,6.9,22.4,74,66.7,3
"Giovani Bernard","RB","CIN",3,2,4,2,4,2,"",3,2,1,5,2,1,3,8,5,7,9,60,3.8,11.8,43,71.7,2
"Golden Tate","WR","DET","",12,4,11,5,8,7,"",8,9,7,4,8,10,9,5,6,7,120,7.5,21.1,92,76.7,5
"JuJu Smith-Schuster","WR","PIT",1,"",4,6,4,6,3,3,10,"",7,8,"",5,"",6,7,10,79,5.6,13.4,58,73.4,7
"Le'Veon Bell","RB","PIT",5,6,4,7,6,10,6,3,3,"",6,11,14,6,10,6,8,"",106,7.1,18,85,80.2,2
"Martavis Bryant","WR","PIT","",6,4,8,5,8,3,2,"","",5,4,6,6,10,6,4,7,84,5.6,14.2,50,59.5,3
"Maxx Williams","TE","BAL",1,1,4,"","","",1,"","",3,"",2,1,2,"",1,3,"",18,1.6,3.2,15,83.3,1
"Robby Anderson","WR","NYJ",1,8,4,6,6,5,12,5,6,5,7,"",10,12,6,12,7,3,114,7.1,22.4,63,55.3,7
"Rex Burkhead","RB","NE",4,3,4,"","","","",1,7,"",3,6,2,4,5,1,"","",36,3.6,6.1,30,83.3,3
"Richard Rodgers","TE","GB",6,"",4,"","",1,"","","",2,1,1,3,2,1,4,"","",19,1.3,3.4,12,63.2,1
"Robert Woods","WR","LAR",1,5,4,7,6,8,7,7,"",5,10,11,"","","",7,8,"",85,7.1,16.4,56,65.9,5
"Sammie Coates","WR","CLE",9,"",4,"","","",2,"",2,"",2,"","","","",1,"","",11,0.9,1.9,6,54.5,0
"Seth DeValve","TE","CLE","",5,4,5,4,4,3,4,3,"",6,3,2,3,3,4,4,1,58,3.6,10.1,33,56.9,1
"Sterling Shepard","WR","NYG",1,8,4,10,5,2,"","","",9,13,"","",6,3,16,8,"",84,7.6,13.8,59,70.2,2
"Tyler Eifert","TE","CIN",1,1,4,"","","","","","","","","","","","","","","",5,2.5,1,4,80,0
"Todd Gurley II","RB","LAR","",6,4,7,8,4,1,8,"",3,7,4,7,7,5,3,13,"",87,5.8,16.8,64,73.6,6
"Terrelle Pryor","WR","WAS","",11,4,4,5,"",5,4,1,3,"","","","","","","","",37,4.1,6.9,20,54.1,1
"Trent Taylor","WR","SF",3,1,4,4,10,2,5,5,3,3,"","",3,6,3,5,4,2,60,4,9.9,43,71.7,2
"Tyrell Williams","WR","LAC",1,7,4,7,6,2,3,1,6,"",5,1,3,3,4,7,6,4,69,4.3,11.8,43,62.3,4
"Adam Humphries","WR","TB",1,"",3,10,7,5,7,3,6,2,4,4,6,4,3,5,3,11,83,5.2,13.7,61,73.5,1
"Albert Wilson","WR","KC",2,5,3,4,4,3,"",2,1,"","","",7,5,7,2,8,11,62,4.8,11.4,42,67.7,3
"Bennie Fowler","WR","DEN",2,4,3,7,2,"",8,5,6,2,1,1,4,4,"","",3,6,56,3.5,9.9,29,51.8,3
"Braxton Miller","WR","HOU","",1,3,4,"","",2,"","","","",3,6,4,"","",2,4,29,2.6,5.5,19,65.5,1
"CJ Anderson","RB","DEN","",3,3,2,4,"","",2,1,1,1,3,"",7,2,1,9,1,40,2.5,7.1,28,70,1
"Cameron Brate","TE","TB",2,"",3,4,6,9,8,9,5,4,3,3,2,6,1,5,4,5,77,4.8,12.7,48,62.3,6
"Charles Clay","TE","BUF","",9,3,6,7,3,"","","","",3,4,4,3,5,9,10,8,74,5.7,15.5,49,66.2,2
"Corey Davis","WR","TEN",1,10,3,"","","","","","",5,10,7,4,4,6,5,9,2,65,5.9,13.1,34,52.3,0
"Curtis Samuel","WR","CAR",3,"",3,5,"",2,"",1,3,5,7,"","","","","","","",26,2.9,5.2,15,57.7,0
"Charles Sims","RB","TB","","",3,1,1,7,5,3,"",2,4,5,5,2,3,4,1,1,47,2.9,7.8,35,74.5,1
"Dalvin Cook","RB","MIN",1,5,3,5,3,"","","","","","","","","","","","","",16,4,3,11,68.8,0
"DeAndre Washington","RB","OAK","",2,3,6,1,"",1,4,10,1,"",3,3,"",2,3,3,3,45,3,8.1,34,75.6,1
"Ed Dickson","TE","CAR","",1,3,1,4,5,8,5,5,2,5,"",3,2,1,"","",3,48,3,9.6,30,62.5,1
"Gerald Everett","TE","LAR",1,1,3,"",3,3,3,"","",2,2,2,1,4,1,1,"",6,32,2,6.2,16,50,2
"Josh Hill","TE","NO",4,"",3,1,"","","","",4,"",1,1,"",2,3,2,3,2,22,1.4,4.1,16,72.7,1
"Jeremy Kerley","WR","NYJ","","",3,5,5,4,3,4,3,"","","","","","","","","",27,3.4,5.3,22,81.5,1
"Jordan Matthews","WR","BUF",4,3,3,5,2,"","",3,4,8,2,"",3,3,"","","","",36,3.6,7.6,25,69.4,1
"Jonnu Smith","TE","TEN",1,1,3,2,"",5,1,4,"",1,5,1,"",1,"",1,2,3,30,1.9,6,18,60,2
"Julius Thomas","TE","MIA","","",3,5,4,4,5,4,3,8,5,4,6,3,4,4,"","",62,4.4,10.3,41,66.1,3
"Keelan Cole","WR","JAX",1,2,3,4,6,1,2,3,"",5,8,6,7,3,3,9,13,8,83,5.2,15.7,42,50.6,3
"Kenny Golladay","WR","DET",1,7,3,5,"","","","","","",3,3,4,3,4,5,8,3,48,4.4,8.4,28,58.3,3
"Kareem Hunt","RB","KC",2,5,3,1,4,4,6,4,5,5,"",4,1,5,3,9,4,"",63,3.9,11.6,53,84.1,3
"Lamar Miller","RB","HOU",2,2,3,1,5,3,4,"",3,4,1,5,3,4,2,4,1,"",45,2.8,8.6,36,80,3
"Luke Willson","TE","SEA",3,1,3,4,1,1,"",1,1,2,"",2,"","",1,2,2,1,22,1.4,4,15,68.2,4
"Matt Forte","RB","NYJ","",5,3,"","","",8,5,7,4,"","",1,3,3,5,1,"",45,3.8,8.8,37,82.2,1
"Mack Hollins","WR","PHI",3,"",3,"","","",2,1,3,1,"",1,2,1,2,1,"",5,22,1.4,3.9,16,72.7,1
"Mike Wallace","WR","BAL","",1,3,5,10,3,5,1,"",7,"",4,11,8,5,10,6,13,92,6.1,16.2,52,56.5,4
"Nelson Agholor","WR","PHI",1,8,3,3,4,5,7,5,3,4,"",5,6,12,11,9,7,3,95,5.9,16.8,62,65.3,8
"O.J. Howard","TE","TB",3,"",3,1,4,1,3,6,2,2,"",4,4,2,6,1,"","",39,2.8,6.4,26,66.7,6
"Phillip Dorsett II","WR","NE",3,1,3,"",1,"",3,"","","",2,"",1,"","",1,1,5,18,1.2,3.1,12,66.7,0
"Shane Vereen","RB","NYG","",10,3,2,2,5,"",4,"",4,4,3,2,3,4,5,"",2,53,3.3,8.7,44,83,0
"Travis Benjamin","WR","LAC",2,4,3,8,5,3,1,1,9,"",3,1,3,6,4,4,5,5,65,4.1,11.1,34,52.3,4
"Taylor Gabriel","WR","ATL","",4,3,6,5,"",8,2,1,4,3,2,3,2,1,2,4,1,51,3.2,9.6,33,64.7,1
"Tanner Gentry","WR","CHI",3,"",3,"","","",1,1,1,"","","","","","","","","",6,1.5,1.3,3,50,0
"Theo Riddick","RB","DET",4,7,3,9,2,5,7,"",2,4,3,2,2,5,10,3,4,3,71,4.4,12.5,53,74.6,2
"Virgil Green","TE","DEN","",1,3,3,"","",1,2,2,"","",4,3,1,"",1,"",1,22,1.4,3.9,14,63.6,1
"Will Tye","TE","NYJ","",3,3,"","","","","","","","","","","","","","","",6,2,1.2,4,66.7,0
"Austin Hooper","TE","ATL",1,2,2,2,7,"",9,1,6,6,6,2,5,4,4,2,4,3,65,4.1,12.3,49,75.4,3
"Brice Butler","WR","DAL","",3,2,2,2,2,"","",1,3,1,3,2,1,"","","",2,24,1.8,4.9,15,62.5,3
"Brittan Golden","WR","ARI","","",2,3,"","","",3,"","","",1,"","","","","","",9,0.7,1.5,5,55.6,0
"Bilal Powell","RB","NYJ","",6,2,"",5,5,"",2,3,"",2,"",1,3,"",1,1,2,33,2.2,6.5,23,69.7,0
"Chris Carson","RB","SEA",1,1,2,2,3,"","","","","","","","","","","","","",8,2,1.4,7,87.5,1
"Chris Godwin","WR","TB",1,"",2,3,"",2,1,1,2,1,10,2,2,3,6,2,6,12,55,3.4,9.1,34,61.8,1
"Cody Latimer","WR","DEN","","",2,1,"","","","",3,3,5,3,4,3,3,4,"","",31,2.8,5.5,19,61.3,2
"Chad Williams","WR","ARI",7,"",2,1,"","","","","","","","",3,1,"","","","",7,1.2,1.2,3,42.9,0
"Devonta Freeman","RB","ATL",4,2,2,3,2,"",4,3,3,5,"","","",2,"",7,3,11,47,3.4,8.9,36,76.6,1
"Dontrelle Inman","WR","CHI",3,"",2,1,1,"","","","","",8,5,9,2,"",2,4,10,44,3.7,9.3,25,56.8,1
"DeMarco Murray","RB","TEN","",2,2,2,2,5,4,4,"",2,4,6,4,2,3,1,4,"",47,3.1,9.5,39,83,1
"Elijah McGuire","RB","NYJ",10,"",2,"",2,3,"","","",1,7,"",1,"","",3,1,6,26,1.6,5.1,17,65.4,1
"Frank Gore","RB","IND","",1,2,1,3,4,3,"",4,4,1,"",5,"",1,4,2,3,38,2.4,7.8,29,76.3,1
"George Kittle","TE","SF",1,6,2,3,3,9,8,2,4,5,"","",2,3,2,5,3,6,63,4.2,10.4,43,68.3,2
"Greg Olsen","TE","CAR","",4,2,"","","","","","","","","",4,"",1,12,6,9,38,5.4,7.6,17,44.7,1
"Ifeanyi Momah","WR","ARI","","",2,"","","","","","","","","","","","","","","",2,0.2,0.3,1,50,0
"Jay Ajayi","RB","PHI","","",2,3,1,3,3,4,4,"","",1,2,4,2,2,3,"",34,2.4,6,24,70.6,1
"Jimmy Graham","TE","SEA",2,7,2,11,6,8,"",6,5,8,9,11,6,4,2,3,1,6,95,5.9,17.1,57,60,10
"Justin Hardy","WR","ATL",4,"",2,"",6,"",3,2,"",2,2,4,"","","",4,1,3,29,1.8,5.5,20,69,3
"Jacob Hollister","TE","NE",4,"",2,1,1,1,"","",1,"","","","",1,"",1,2,1,11,0.7,1.9,4,36.4,0
"Jalen Richard","RB","OAK",6,1,2,1,1,2,4,4,7,1,"",3,2,3,"",2,2,1,36,2.2,6.5,27,75,1
"Jarius Wright","WR","MIN","",2,2,3,"","","",4,1,"",1,1,3,3,2,1,2,"",25,1.6,4.7,18,72,2
"Kenny Britt","WR","NE","",3,2,10,8,"","",5,"","",3,2,2,3,"",1,2,2,43,3.6,7.3,20,46.5,2
"Matt Breida","RB","SF",3,"",2,4,3,5,4,1,6,4,2,"",1,1,"","",1,2,36,2.2,5.9,21,58.3,1
"Marcedes Lewis","TE","JAX",2,2,2,5,4,2,2,3,"",6,5,2,2,5,2,2,1,3,48,3,9.1,24,50,5
"Marshawn Lynch","RB","OAK","",2,2,1,1,2,2,"","",2,"",1,3,3,2,4,3,3,31,2.1,5.6,20,64.5,0
"Paul Perkins","RB","NYG","",3,2,2,2,"","","","","","","","","","","","",1,10,0.9,1.6,8,80,0
"Rhett Ellison","TE","NYG","",1,2,"",2,2,"",1,"",2,"",1,1,2,5,"",7,6,32,2,5.3,24,75,2
"Ryan Grant","WR","WAS","",6,2,4,3,"",5,3,7,3,3,3,2,9,1,3,6,5,65,4.1,12,45,69.2,4
"Roger Lewis","WR","NYG","",6,2,1,"",2,2,6,"",3,4,4,7,3,11,10,11,"",72,4.8,11.8,36,50,2
"Ricardo Louis","WR","CLE","",3,2,6,9,8,7,4,6,"",6,4,2,"","",1,1,2,61,3.8,10.6,27,44.3,0
"Russell Shepard","WR","CAR","",2,2,1,1,2,6,3,1,2,7,"","",5,1,"","","",33,2.2,6.6,17,51.5,1
"Sammy Watkins","WR","LAR",1,5,2,7,2,4,4,5,"",2,3,4,9,4,7,5,7,"",70,4.7,13.5,39,55.7,8
"Tavon Austin","WR","LAR",3,1,2,"",2,5,"",2,"","","","",4,1,"","","",5,22,1.4,4.2,13,59.1,0
"Tevin Coleman","RB","ATL",1,6,2,5,6,"",1,1,1,2,1,2,"",6,"","",4,2,39,2.6,7.4,27,69.2,3
"Tommylee Lewis","WR","NO",5,3,2,3,2,"","",1,"","","","",1,1,2,"","","",15,1,2.8,10,66.7,1
"Tanner McEvoy","WR","SEA","",2,2,"","","","","",1,2,"","",2,"","",1,"","",10,0.7,1.8,5,50,0
"Terrance West","RB","BAL","",1,2,1,"","","","","","","","","","","","","","",4,0.8,0.7,2,50,0
"Wendell Smallwood","RB","PHI","",1,2,2,6,"","",2,2,"","","","","","","","",3,18,2.2,3.2,13,72.2,0
"Amara Darboh","WR","SEA","",1,1,1,4,"","",2,"","",2,"","","","",1,"",1,13,0.8,2.3,8,61.5,0
"AJ Derby","TE","MIA","",3,1,2,6,"",4,7,4,3,1,"","","","","",5,4,40,3.6,6.6,21,52.5,2
"Andre Roberts","WR","ATL",2,"",1,1,"","","",1,"",1,"","","","","","","","",4,0.2,0.8,1,25,0
"Blake Bell","TE","MIN",3,"",1,"",1,"","","","","","","","","",2,"","","",4,0.3,0.8,3,75,0
