NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Total,Avg,TM TGT %,Catches,Catch %,TD
"Marquez Valdes-Scantling","WR","KC",1,4,7,7,5,8,3,4,"",1,4,4,5,6,3,5,2,7,6,81,4.8,12.4,42,51.9,2
"Mike Williams","WR","LAC",1,4,10,6,11,13,6,9,"","","",1,"","",6,8,4,10,5,93,7.2,13.1,63,67.7,4
"Noah Fant","TE","SEA",1,4,2,4,1,5,7,3,2,6,4,"",3,5,1,6,3,3,4,63,3.7,11,50,79.4,4
"Olamide Zaccheaus","WR","ATL",1,4,2,2,2,4,4,4,1,2,4,2,8,5,"",3,7,"",7,61,3.6,14.7,40,65.6,3
"Parris Campbell","WR","IND",1,4,2,2,4,3,11,12,2,5,9,6,3,5,"",4,5,6,9,92,5.4,15.1,63,69.2,3
"Sterling Shepard","WR","NYG",2,4,10,10,"","","","","","","","","","","","","","","",24,8,4.6,13,54.2,1
"Travis Etienne Jr.","RB","JAX",1,4,3,3,1,5,2,5,3,2,3,"","",3,"",3,3,3,2,45,2.6,7.6,35,77.8,
"Tyler Lockett","WR","SEA",1,4,11,11,8,6,5,8,8,5,5,"",7,12,9,9,"",2,7,117,7.3,20.4,84,71.8,9
"Tre' McKitty","TE","LAC",2,4,"","",1,2,"","","","",6,"","",1,1,"",2,"",1,18,1.1,2.5,10,55.6,
"Terry McLaurin","WR","WAS",1,4,8,9,6,6,4,8,8,9,11,7,6,12,"",6,5,5,6,120,7.1,21.7,77,64.2,5
"Ty Montgomery","WR","NE",4,4,"","","","","","","","","","","","","","","","","",4,4,0.7,3,75,1
"Zach Ertz","TE","ARI",1,4,11,10,6,10,10,4,5,8,1,"","","","","","","","",69,6.9,10.4,47,68.1,4
"Andrew Beck","TE","DEN",1,3,"","","",1,1,1,"","","","","","","",1,"",2,2,11,0.8,1.9,5,45.5,
"Andy Isabella","WR","BAL",3,3,"",2,"","","","","","","","","","","","","","","",5,1,1,2,40,
"Breshad Perriman","WR","TB",6,3,5,4,"","",1,"",1,2,"","",1,"","","","","",2,19,1.7,2.5,9,47.4,1
"Cameron Brate","TE","TB","",3,2,6,8,"",3,"","","",2,"",5,"",4,4,"","","",37,3.5,5.1,20,52.6,
"Clyde Edwards-Helaire","RB","KC",2,3,4,5,2,4,"",1,"",2,2,"","","","","","","","",23,2.3,3.5,17,73.9,3
"Chris Godwin","WR","TB",1,3,"","",10,6,12,13,11,10,8,"",13,13,9,8,10,9,7,142,9.5,18.9,104,73.2,3
"Chris Moore","WR","HOU",2,3,4,3,2,"","",4,"",5,6,7,3,3,11,9,4,5,6,75,4.6,12.8,48,64.9,2
"Chris Olave","WR","NO",1,3,13,13,7,6,"",14,7,9,5,6,9,6,"",4,"",5,12,119,7.9,23.2,72,60.5,4
"Damien Harris","RB","NE",1,3,2,3,1,1,"",2,2,"","",2,"","","","","",3,4,23,1.8,4.3,17,73.9,
"Darnell Mooney","WR","CHI",1,3,2,6,5,5,12,6,5,8,4,5,"","","","","","","",61,5.1,16.2,40,65.6,2
"D'Andre Swift","RB","DET",1,3,5,4,"","","","",5,4,3,3,8,6,4,9,5,4,7,70,5,11.9,48,68.6,3
"Equanimeous St. Brown","WR","CHI",2,3,4,2,2,2,"",7,3,2,"",2,2,4,"",1,"",3,1,38,2.4,10.1,21,55.3,1
"George Pickens","WR","PIT",1,3,3,7,8,8,6,6,3,"",4,6,6,2,3,5,5,4,6,85,4.9,14.7,52,61.9,4
"Hunter Henry","TE","NE",1,3,1,1,4,5,7,2,1,4,"",1,5,5,3,4,"",6,7,59,3.5,10.9,41,69.5,2
"Isaiah McKenzie","WR","BUF",1,3,3,9,6,"",5,"",1,3,5,1,10,5,5,5,2,"",3,66,4.3,11.3,42,64.6,4
"Ian Thomas","TE","CAR",2,3,3,3,3,2,2,1,1,"","",4,2,"",2,"",3,1,"",30,1.8,6.6,21,70,
"J.D. McKissic","RB","WAS","",3,7,9,4,7,3,2,5,"","","","","","","","","","",40,5,7.2,27,67.5,
"Johnny Mundt","TE","MIN",3,3,3,2,1,2,2,"",1,1,"",1,2,1,"",1,1,"","",21,1.2,3.1,19,90.5,1
"Josh Reynolds","WR","DET",1,3,3,10,8,10,"",2,6,"","","","",4,6,"",4,1,2,59,4.2,10,38,64.4,3
"KhaDarel Hodge","WR","ATL",2,3,3,"",1,5,"","","",2,2,1,"",2,"","","",1,"",20,1.2,4.8,13,65,1
"Nico Collins","WR","HOU",1,3,9,4,5,6,"",3,"","",10,7,9,10,"","","","","",66,6.6,11.4,37,56.1,2
"Randall Cobb","WR","GB",2,3,3,2,4,13,1,"","","","",6,4,4,"",4,2,2,2,50,3.8,8.9,34,68,1
"Rashaad Penny","RB","SEA",3,3,"",1,1,"","","","","","","","","","","","","","",5,1,0.9,4,80,
"Simi Fehoko","WR","DAL",2,3,"",1,"","","","","","","","","","","","","","","",4,0.8,0.7,3,75,
"Shi Smith","WR","CAR",1,3,6,2,2,5,2,"",1,2,1,5,"","",2,3,2,4,1,41,2.4,9,22,53.7,2
"Sammy Watkins","WR","BAL","",3,4,"","","","",4,1,5,3,2,"","","","",1,"",4,27,2.2,5.5,16,59.3,
"Will Dissly","TE","SEA",2,3,2,3,4,3,1,4,2,4,2,"",3,2,3,1,1,"","",38,2.5,6.6,34,89.5,3
"Anthony Firkser","TE","ATL",3,2,"",1,"",1,"","","","","","",1,2,"",2,3,"",1,13,1.2,3.1,9,69.2,
"Austin Hooper","TE","TEN",2,2,4,2,1,1,"",3,1,3,7,4,4,5,5,4,4,6,4,60,3.5,13.2,41,68.3,2
"Alec Pierce","WR","IND",1,2,"",5,6,9,7,4,5,2,2,8,2,8,"",4,4,5,4,77,4.9,12.9,41,52.6,2
"Allen Robinson II","WR","LAR",1,2,5,5,6,5,6,"",7,5,6,5,"","","","","","","",52,5.2,9.8,33,63.5,3
"Anthony Schwartz","WR","CLE",7,2,"","","",1,3,"","","",1,"",2,1,"","","","","",10,0.9,1.9,4,40,
"Brandon Aiyuk","WR","SF",1,2,8,8,4,4,11,11,6,"",7,4,8,9,3,4,7,12,5,113,6.7,22.3,78,68.4,8
"Brandon Bolden","RB","OAK",3,2,"",2,1,3,"","","","","",1,"","","","","","","",9,0.6,1.5,9,100,1
"Brevin Jordan","TE","HOU",2,2,4,"","","","",4,4,2,"","","",5,"",1,2,3,"",27,2.5,4.8,14,50,
"Byron Pringle","WR","CHI","",2,"",1,"","","","","","",2,"",2,"","",2,2,4,1,16,1.5,4.2,10,62.5,2
"Chris Conley","WR","TEN",2,2,"","","","","","","",1,"","","","",1,3,"","","",7,0.8,1.5,4,57.1,
"Colby Parkinson","TE","SEA",3,2,"",2,3,"",2,1,1,2,3,"","",1,2,1,4,7,3,34,2,5.9,25,73.5,2
"Cedrick Wilson Jr.","WR","MIA",1,2,1,"","",4,"","","",2,1,"",3,"",2,2,"","","",17,1.2,3.1,12,66.7,
"Dee Eskridge","WR","SEA",2,2,1,"",1,1,3,1,2,2,"","","","","","","","","",13,1.3,2.3,7,53.8,
"Dawson Knox","TE","BUF",1,2,5,4,6,"",3,"",3,4,6,7,2,1,7,8,5,"",2,65,4.3,11.3,48,73.8,6
"DeVante Parker","WR","NE",1,2,2,10,2,"",6,5,1,"","",2,4,4,2,"","","",7,47,3.6,8.7,31,66,3
"Devin Singletary","RB","BUF",2,2,4,11,5,2,5,"",2,5,2,2,1,2,2,4,3,"",1,53,3.2,9.1,38,73.1,1
"Durham Smythe","TE","MIA",2,2,1,3,"",1,"","","",2,"","",1,2,"",1,1,1,5,20,1.2,3.4,15,75,1
"Ezekiel Elliott","RB","DAL","",2,2,1,2,"",1,"","","","",1,1,3,5,2,1,"",2,23,1.5,4.1,17,73.9,
"Irv Smith Jr.","TE","MIN",1,2,8,6,4,5,4,"",4,"","","","","","","","","",3,36,4.5,5.4,25,69.4,2
"Josiah Deguara","TE","GB",2,2,"","",1,2,1,"",1,5,"","","",1,"","",1,1,"",15,0.9,2.7,13,86.7,
"Justice Hill","RB","BAL",1,2,"","",2,"","","","",1,"",3,"",2,"",1,1,"","",12,0.8,2.5,12,100,
"Joshua Kelley","RB","LAC",2,2,2,2,2,2,"","","","","","",3,1,2,2,1,2,4,25,1.9,3.5,14,56,
"James Robinson","RB","NYJ","",2,2,3,"",2,1,1,1,2,"","","","","","","","","",14,1.3,2.2,11,78.6,2
"Jamaal Williams","RB","DET",2,2,1,2,3,"","",1,3,"","","","","",1,"",2,1,"",16,0.9,2.7,12,75,
