NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Total,Avg,TM TGT %,Catches,Catch %,TD
"Kenny Yeboah","TE","NYJ",5,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Lynn Bowden Jr.","WR","NE",11,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Luke Farrell","TE","JAX",3,"","","","","",1,"","",1,"","","",1,"","","","",1,4,0.2,0.7,4,100,
"Lil'Jordan Humphrey","WR","NE",10,"",2,1,1,"","","","","","","","","","","","","","",4,0.7,0.7,2,50,
"Lucas Krull","TE","NO",5,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Lance McCutcheon","WR","LAR",2,"","","","","","","","","","","",3,"","","","",1,"",4,0.5,0.9,0,0,
"Latavius Murray","RB","DEN",3,"","","",1,"",1,3,2,"",3,4,1,4,5,1,3,6,1,35,2.7,6.1,27,77.1,
"Larry Rountree III","RB","LAC",4,"","","","","","","","","","","","","","","","",1,1,2,0.5,0.3,2,100,
"Laviska Shenault Jr.","WR","CAR",2,"","",2,"","","",1,6,1,4,4,2,"",4,1,3,3,1,32,2.5,7,27,84.4,1
"Laquon Treadwell","WR","SEA",6,"","","","","","","","","","","","",1,"","",7,2,"",10,1.7,1.7,6,60,
"Maurice Alexander","WR","DET",9,"","","","","","","",1,"","","","","","","","","","",1,0.2,0.2,1,100,
"Michael Bandy","WR","LAC","","","","",2,"",2,6,"",8,1,1,"",1,"","","","","",21,2.1,3,10,47.6,
"Matt Breida","RB","NYG",2,"",1,"","",2,2,1,2,"","",1,1,1,4,1,"",1,8,25,1.5,4.8,20,80,
"Malcolm Brown","RB","LAR","","","","","","",1,"","",1,"","","","",2,1,1,"","",6,0.5,1.1,5,83.3,
"Marquez Callaway","WR","NO",2,"","",1,6,3,7,6,1,5,"",1,"",1,"","","","",1,32,2.3,6.2,16,50,1
"Malik Davis","RB","DAL",4,"","","","","","","",2,"","",3,"","","","","",2,"",7,0.6,1.3,6,85.7,
"Mike Davis","RB","BAL","","","","","","","","","",1,"",1,"","","","","","","",2,0.2,0.4,2,100,
"Miller Forristall","TE","CLE",4,"","",1,"","","","","","","","","","","","","","","",1,0.2,0.2,0,0,
"Michael Gallup","WR","DAL",1,"","","",3,5,7,2,6,"",7,4,8,7,6,2,7,4,6,74,5.3,13.3,39,52.7,4
"Myles Gaskin","RB","MIA",6,"","","","",5,"","","","","","",1,"","","","","","",6,1.5,1,4,66.7,
"Marcus Johnson","WR","NYG","","","","","",3,4,3,6,"","","","","","","","","",6,22,1.6,4.2,9,40.9,
"Marcus Kemp","WR","KC",2,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Mason Kinsey","WR","TEN",2,"","","","","","",1,"","","","","","","","","","","",1,0.5,0.2,1,100,
"Marcedes Lewis","TE","GB","","","","","",1,"","","",1,1,"","",1,"",1,2,"","",7,0.4,1.2,6,85.7,2
"Marlon Mack","RB","DEN","","","","","","","","","","","","",1,1,3,4,1,"","",10,1.2,1.8,8,80,1
"MyCole Pruitt","TE","ATL","","","","","","",1,"","",1,1,1,3,1,"",3,1,4,5,21,1.6,5.1,16,76.2,4
"Mason Schreck","TE","HOU",4,"","","",1,1,"","","","","","","","","","","","","",2,0.7,0.3,2,100,
"Matthew Slater","WR","NE",2,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Matt Sokol","TE","NE",4,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Malik Turner","WR","SF",10,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Montrell Washington","WR","DEN",1,"",1,"",1,"",1,"",1,"",1,"",3,1,"","","","","",9,0.6,1.6,4,44.4,
"Mitchell Wilcox","TE","CIN","","",1,1,1,"","",2,1,"","","","",1,2,3,6,"","",18,1.1,3,17,94.4,1
"Maxx Williams","TE","ARI","","","","","","","","","","","",1,"","","",2,"","","",3,0.3,0.5,3,100,
"Michael Woods II","WR","CLE",11,"","","","","",2,"",2,"",1,"","","","",2,1,"",1,9,0.9,1.9,5,50,
"Nick Boyle","TE","BAL","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"N'Keal Harry","WR","CHI","","","","","","","",1,2,2,"","","",1,"","","",1,2,9,1.3,2.4,7,77.8,1
"Nikola Kalinic","TE","IND","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Nick Muse","TE","MIN",5,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Nick Vannett","TE","NYG","","","",1,"","","","",1,"","","","","",2,1,"","",4,9,1,1.7,6,66.7,
"Nsimba Webster","WR","CHI",3,"","","","","","","","","","","","","","",3,"","","",3,1.5,0.8,2,66.7,
"Pharoh Cooper","WR","ARI","","","","","","","","","","","","","","","","","","",2,2,0.4,0.3,2,100,
"Penny Hart","WR","SEA",5,"","",1,"","","","","","","","","","","",1,2,"","",4,0.4,0.7,3,75,
"Peyton Hendershot","TE","DAL",3,"","",3,"","",5,2,2,"",1,1,"","","",1,"",1,"",16,0.9,2.9,11,68.8,2
"Phillip Lindsay","RB","IND","","","","","",4,3,"","",1,"","","","","","","","","",8,2.7,1.3,6,75,
"Pierre Strong Jr.","RB","NE",1,"","","","","","","","","","","","","",2,3,2,"","",7,0.5,1.3,7,100,
"Patrick Taylor","RB","GB",3,"","","","","","","","","","","","","","","",1,"","",1,0.1,0.2,1,100,
"Preston Williams","WR","CAR","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Quintez Cephus","WR","DET","","","","",3,"","","","","","","","","","","","","","",3,0.8,0.5,2,66.7,
"Quintin Morris","TE","BUF",3,"",1,2,1,5,"","","","","","",1,"","",1,"","","",11,0.8,1.9,8,72.7,1
"Qadree Ollison","RB","DAL",6,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Quez Watkins","WR","PHI",2,"",2,1,1,4,1,"",1,2,4,2,5,6,5,6,5,1,4,50,2.9,9.3,33,66,3
"Raheem Blackshear","RB","CAR",3,"","","","","","","","",4,"",3,2,"",1,"",1,1,"",12,0.9,2.6,10,83.3,
"Reggie Bonnafon","RB","WAS","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Roger Carter Jr.","TE","LAR","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"River Cracraft","WR","MIA",2,"",2,1,1,1,1,"","","","","",4,3,"","","","",1,14,1.3,2.4,9,64.3,2
"Rico Dowdle","RB","DAL",5,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Royce Freeman","RB","HOU","","","","","","","","","","","","","","","",1,1,5,1,8,2,1.4,6,75,
"Rashard Higgins","WR","CAR","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Ronald Jones","RB","KC",2,"","","","","","","","","","","",1,"","","","","","",1,0.2,0.2,1,100,
"Racey McMath","WR","TEN",2,"","","","","","","","","","","","","",4,2,"",2,"",8,1.6,1.8,2,25,
"Rondale Moore","WR","ARI",1,"","","",5,8,10,2,8,10,13,"","","","","","","","",56,7,8.4,41,73.2,1
"Ronnie Rivers","RB","LAR",3,"","","","","",1,"",4,"","","","","","","","","","",5,0.6,0.9,5,100,
"Rashid Shaheed","WR","NO",1,"","","","","",1,1,3,"",1,2,3,4,"",4,5,6,4,34,2.8,6.6,28,82.4,2
"Raleigh Webb","WR","NE",3,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Salvon Ahmed","RB","MIA",3,"","","","","","","","","","","","","","","","",1,"",1,0.1,0.2,1,100,
"Stephen Anderson","TE","ARI","","",1,"","","","","","","",1,1,"","",2,"",2,"","",7,0.4,1.1,3,42.9,
"Stanley Berryhill","WR","DET","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Spencer Brown","RB","CAR",5,"","","","","","","",1,3,"","","","","","","","","",4,2,0.9,2,50,
"Snoop Conner","RB","JAX",5,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Sean McKeon","TE","DAL",4,"","","","","",1,"","","",2,"","","","","","","","",3,0.2,0.5,2,66.7,
"Sony Michel","RB","LAC","","",1,2,3,"",3,3,"",1,"","","","","","","","","",13,1.3,1.8,9,69.2,
"Scott Miller","WR","TB",1,"",8,5,"",7,"",2,2,8,2,"","",2,1,"",1,"",2,40,2.7,5.3,23,57.5,
"Stanley Morgan","WR","CIN",2,"","","","",1,"","","","","","","","","","","","","",1,0.1,0.2,0,0,
"Steven Sims","WR","PIT",8,"","","","","","","",3,"",2,2,3,2,4,2,1,4,"",23,1.9,4,14,60.9,
"Stone Smartt","TE","LAC",3,"","","","","","","","","","",1,"",3,1,"","","","",5,0.7,0.7,4,80,
"Stephen Sullivan","TE","CAR",4,"",1,"","","","","",2,"","","","","",1,"","",2,"",6,0.4,1.3,2,33.3,
"Samori Toure","WR","GB",2,"","","","","","",1,4,4,"","","",1,"","","","","",10,0.9,1.8,5,50,1
"Scotty Washington","TE","NE",4,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Shane Zylstra","TE","DET",4,"","","","","","","","",1,1,"","",1,2,1,6,2,1,15,1.2,2.6,11,73.3,4
"Tyler Allgeier","RB","ATL",3,"","",1,1,"","","",3,1,3,1,"","","",1,5,1,"",17,1.1,4.1,16,94.1,1
"Tyler Badie","RB","DEN",3,"","","","","","","","","","","","","","","","","",1,1,1,0.2,1,100,1
"Trinity Benson","WR","DET",7,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Trenton Cannon","RB","TEN","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Ty Chandler","RB","MIN",3,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Tyrie Cleveland","WR","DEN",2,"",3,"","",1,"","","","",3,"","","","","","","","",7,1.2,1.2,2,28.6,
"Tevin Coleman","RB","SF","","","","","",3,"","","","","","","","","","","","","",3,0.6,0.6,3,100,1
"Tanner Conner","TE","MIA",3,"","","","",1,2,"","","","","","","","","","","","",3,0.2,0.5,0,0,
"Tyrion Davis-Price","RB","SF",3,"","","","","","",2,"","","","","","","","","","","",2,0.3,0.4,0,0,
"Trestan Ebner","RB","CHI",2,"","",1,3,"","","","","","",1,"","","",1,"","",2,8,0.5,2.1,2,25,
"Tanner Gentry","WR","BUF","","","","","",1,"","","","","","","","","","","","","",1,0.3,0.2,0,0,
"T.Y. Hilton","WR","DAL","","","","","","","","","","","","","","","","",1,5,4,10,3.3,1.8,7,70,
"Travis Homer","RB","SEA",3,"",4,"","","","","",1,3,"","",3,"",3,4,"","","",18,1.8,3.1,16,88.9,1
"Tanner Hudson","TE","NYG",3,"",3,"",2,"","",1,5,"",3,"",1,"","","","","","",15,1.4,2.9,10,66.7,
"Trenton Irwin","WR","CIN",3,"","","","","","","",3,1,"",4,4,1,2,2,4,"",2,23,2.6,3.8,15,65.2,4
"Tyree Jackson","TE","PHI",3,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Ty Johnson","RB","NYJ","","",3,"","","","",1,2,"","",1,2,7,"","","",5,3,24,1.4,3.8,12,50,
"Tyler Johnson","WR","HOU",9,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Tyron Johnson","WR","HOU",3,"","","","","","","","",1,"","","","","","","","","",1,0.2,0.2,1,100,
"Taiwan Jones","RB","BUF","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Tim Jones","WR","JAX",7,"","","",1,"",1,1,"","","","","",1,"","","","","",4,0.2,0.7,3,75,
"Tony Jones Jr.","RB","SEA",2,"",2,"","","","","","","","","","",4,2,"","","","",8,1.3,1.4,5,62.5,
"Tom Kennedy","WR","DET",3,"","","",5,1,"",3,"",4,2,1,"","","","","","","",16,2.1,2.6,8,53.3,
"Tyler Mabry","TE","SEA",4,"","","","","","","","","","","","","","","","",1,"",1,0.5,0.2,1,100,1
"Terrace Marshall Jr.","WR","CAR",1,"","","","",4,1,3,9,6,2,6,3,"",1,3,3,3,3,47,3.4,10.3,28,59.6,1
"Tay Martin","WR","SF",10,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Trey McBride","TE","ARI",2,"","","",3,"","","","","",1,4,3,"",6,5,4,10,3,39,2.4,5.9,29,74.4,1
"Teagan Quitoriano","TE","HOU",3,"","","","","","","","",1,"",1,2,3,"",2,1,"",4,14,1.6,2.4,7,50,2
"Trey Sermon","RB","PHI",5,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Tre'Quan Smith","WR","NO",2,"","",5,2,4,3,6,1,4,"","",1,"","","","","",1,27,1.8,5.3,19,70.4,1
"Tommy Sweeney","TE","BUF",3,"","","","","",1,"","","","","","","","","","","","",1,0.2,0.2,1,100,
"Trent Taylor","WR","CIN",1,"","","","","","","",1,2,"",1,2,"",4,"","","","",10,0.6,1.6,6,60,
"Tyquan Thornton","WR","NE",2,"","","","",3,5,5,2,4,"",2,"",3,5,4,3,7,2,45,3.5,8.3,22,48.9,2
"Trevon Wesco","TE","CHI",3,"","","",2,"","","","","",1,"",1,"","","","","","",4,0.3,1.1,2,50,
"Trayveon Williams","RB","CIN",2,"","","","","","","","","","",1,1,"",1,"","","","",3,0.4,0.5,2,66.7,
"Ty'Son Williams","RB","ARI",4,"","","","","","","","","","","","","","","","","",1,1,1,0.2,1,100,
"Van Jefferson","WR","LAR",1,"","","","","","","","",5,3,5,7,4,4,2,5,3,7,45,4,8.3,24,54.5,3
"Velus Jones Jr.","WR","CHI",1,"","","","",1,1,"",3,"","","","","","",2,4,1,2,14,1.2,3.7,7,50,1
"Willie Snead IV","WR","SF",3,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Zonovan Knight","RB","NYJ",3,"","","","","","","","","","","",3,5,2,"",1,3,"",14,2,2.2,13,92.9,
"Zamir White","RB","OAK",4,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
