NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Total,Avg,TM TGT %,Catches,Catch %,TD
"DeAndre Hopkins","WR","HOU",1,11,11,10,12,13,6,8,7,12,"",6,6,12,10,11,12,16,163,10.2,28.7,115,70.6,11
"Emmanuel Sanders","WR","DEN",1,11,4,8,7,14,10,7,4,9,"",6,12,6,"","","","",98,8.2,23.5,71,72.4,4
"Jalen Richard","RB","OAK",6,11,"",7,5,6,8,"",8,4,6,4,4,4,1,6,5,2,81,5.1,16.3,68,84,0
"Keenan Allen","WR","LAC",1,11,8,7,10,9,6,5,"",10,9,12,7,19,9,"",8,7,136,8.5,27,97,71.3,6
"T.Y. Hilton","WR","IND",3,11,11,10,6,"","",4,5,"",7,9,10,13,12,8,8,6,120,8.6,16.5,76,63.3,6
"Demaryius Thomas","WR","HOU","",10,11,5,7,6,4,6,7,3,"",1,5,5,6,8,5,"",89,5.9,18,59,66.3,5
"Jack Doyle","TE","IND",2,10,5,"","","","","",7,"",3,4,4,"","","","","",33,5.5,7.5,26,78.8,2
"Larry Fitzgerald","WR","ARI","",10,5,2,7,3,8,8,12,"",10,4,2,6,9,8,9,9,112,7,21.7,69,61.6,6
"Nelson Agholor","WR","PHI",1,10,12,5,12,4,5,7,6,"",7,2,1,8,3,2,7,6,97,6.1,17.2,64,66,4
"Quincy Enunwa","WR","NYJ","",10,11,8,8,5,1,"","",4,8,"",4,6,4,"","","",69,6.3,16,38,55.1,1
"Randall Cobb","WR","GB",1,10,6,11,"","","","",5,6,"","","",5,6,7,"",5,61,6.8,9,38,62.3,2
"Zach Ertz","TE","PHI",2,10,13,10,14,11,9,11,6,"",16,3,8,10,8,7,16,4,156,9.8,26.9,116,74.4,8
"Cooper Kupp","WR","LAR",1,9,6,6,11,9,1,"","",6,8,"","","","","","","",56,7,14.6,40,71.4,6
"Christian McCaffrey","RB","CAR",1,9,15,2,"",6,8,6,6,6,5,8,11,10,7,11,13,1,124,7.8,22.7,107,86.3,6
"David Johnson","RB","ARI",2,9,2,4,4,3,5,3,4,"",9,3,3,2,10,6,5,4,76,4.8,15,50,65.8,3
"George Kittle","TE","SF",1,9,4,7,8,7,6,8,8,4,10,"",12,9,9,8,12,14,136,8.5,23.6,88,64.7,5
"James White","RB","NE",2,9,8,3,10,14,7,10,13,7,8,"",5,9,4,7,4,5,123,7.7,23.2,87,70.7,7
"Nyheim Hines","RB","IND",2,9,1,5,11,9,3,2,2,"",4,3,2,9,5,6,5,5,81,5.1,11.5,63,77.8,2
"Ryan Grant","WR","IND","",9,2,4,7,9,5,"","","",1,3,1,2,1,2,3,2,51,3.6,9.3,35,68.6,1
"Robert Woods","WR","LAR",1,9,9,11,5,7,10,7,7,9,5,11,"",9,13,9,7,3,130,8.1,23.5,86,66.2,6
"A.J. Green","WR","CIN",2,8,9,8,8,10,12,14,7,"","","","",1,"","","","",77,8.6,18.9,46,59.7,6
"Brandin Cooks","WR","LAR",1,8,9,8,8,"",6,5,8,8,12,12,"",6,7,7,3,9,117,7.3,21.9,80,68.4,5
"Bruce Ellington","WR","DET",8,8,3,1,"","","","","","","",9,7,10,4,"","","",42,6,6.8,31,73.8,1
"Cole Beasley","WR","DAL",1,8,3,5,5,3,11,8,"",4,5,7,2,3,4,7,5,6,86,5.4,18.1,65,75.6,3
"Davante Adams","WR","GB",1,8,12,9,14,12,16,"",7,9,7,12,8,13,11,13,18,"",169,11.3,27.1,111,65.7,13
"Dion Lewis","RB","TEN","",8,1,3,9,4,2,6,"",4,2,2,7,3,5,3,4,4,67,4.2,13.5,59,88.1,1
"Geronimo Allison","WR","GB",5,8,6,4,11,"","","",1,"","","","","","","","","",30,6,7.1,20,66.7,2
"JuJu Smith-Schuster","WR","PIT",1,8,19,11,11,4,10,"",6,9,5,10,17,9,12,10,15,10,166,10.4,23.1,111,66.9,7
"Marvin Jones Jr.","WR","DET",1,8,9,6,6,4,"",4,10,8,7,"","","","","","","",62,6.9,15,35,56.5,5
"Rob Gronkowski","TE","NE",1,8,4,5,7,7,4,"",8,"","","",7,4,8,5,3,2,72,5.5,12.3,47,65.3,3
"Tyreek Hill","WR","KC",1,8,6,5,13,7,12,10,4,5,10,14,"",6,14,7,9,7,137,8.6,24,87,63.5,12
"Allen Robinson II","WR","CHI",1,7,14,7,4,"",6,5,"","",8,7,4,9,8,7,8,"",94,7.2,17.3,55,58.5,4
"Chris Thompson","RB","WAS","",7,14,2,"",8,"","",3,"","","","",5,5,2,1,8,55,5.5,9,41,74.5,1
"Dalvin Cook","RB","MIN",1,7,5,"","","","","","",4,"",3,3,10,7,2,3,5,49,4.5,4.9,40,81.6,2
"David Njoku","TE","CLE",2,7,7,2,7,11,12,6,"",5,1,"",5,6,4,5,4,7,89,5.6,15.9,56,62.9,4
"Darren Sproles","RB","PHI","",7,"","","","","","","","","","","","",3,4,6,3,23,3.8,1.7,15,65.2,2
"Delanie Walker","TE","TEN","",7,"","","","","","","","","","","","","","","","",7,7,2.3,4,57.1,0
"Jakeem Grant Sr.","WR","MIA",2,7,4,3,2,1,4,2,8,2,1,"","","","","","","",34,3.4,10.2,21,61.8,2
"Joe Mixon","RB","CIN",1,7,1,"","",4,7,5,4,"",2,3,7,2,6,4,2,1,55,3.9,10,43,78.2,1
"Kelvin Benjamin","WR","KC","",7,3,5,6,5,6,5,7,9,3,"",2,4,"",2,2,1,67,4.5,17.3,25,37.3,1
"Mike Evans","WR","TB",1,7,12,11,9,"",5,11,13,10,6,7,8,6,6,9,10,9,139,8.7,22,86,61.9,8
"Phillip Dorsett II","WR","NE",3,7,7,5,7,3,"",1,"",3,2,"",2,"","","","",5,42,2.6,9.1,32,76.2,3
"Sterling Shepard","WR","NYG",1,7,5,7,10,7,7,8,8,"",3,2,6,6,6,9,7,9,107,6.7,17.4,66,61.7,4
"Theo Riddick","RB","DET",5,7,12,3,5,3,"","","",8,7,7,7,4,4,3,5,"",74,5.3,14.1,61,82.4,0
"T.J. Yeldon","RB","JAX","",7,5,7,3,10,5,7,9,"",6,3,4,8,1,3,"","",77,5.5,16.5,55,71.4,4
"Brandon Marshall","WR","NO","",6,6,6,3,1,1,"","","","","","","","","","","",23,3.3,6.3,11,47.8,1
"Danny Amendola","WR","MIA",1,6,4,3,3,4,11,7,6,7,10,"",1,"",1,8,3,5,79,5.3,18.6,59,74.7,1
"Duke Johnson","RB","CLE",4,6,2,2,6,1,5,4,3,9,4,"",2,3,"",5,6,4,62,3.9,11.1,47,75.8,3
"Dede Westbrook","WR","JAX",2,6,5,4,13,5,5,4,6,"",10,4,4,5,10,5,8,7,101,6.3,16.5,66,65.3,5
"Javorius Allen","RB","BAL","",6,7,4,2,8,3,3,5,5,"","","","","","","","",43,3.1,9.9,35,81.4,2
"James Conner","RB","PIT",2,6,5,6,7,4,7,"",6,9,1,9,4,4,"","","",3,71,5.5,13.4,55,77.5,1
"Michael Crabtree","WR","BAL","",6,10,10,8,12,9,9,5,7,"",3,6,4,4,1,4,2,100,6.2,19.5,54,54,3
"Mohamed Sanu Sr.","WR","ATL",2,6,2,7,9,7,2,2,"",5,8,6,4,4,8,6,8,10,94,5.9,13.2,66,70.2,4
"Mike Williams","WR","LAC",1,6,2,7,3,4,4,3,"",3,"",3,4,3,6,9,3,6,66,4.1,11.2,43,65.2,10
"Nick Boyle","TE","BAL",4,6,4,1,5,2,4,2,3,"","",4,2,2,"","",2,"",37,2.3,7.6,23,62.2,0
"Pierre Garcon","WR","SF","",6,4,4,7,12,6,1,"",5,"","","","","","","","",45,5.6,12.8,24,53.3,1
"Paul Richardson","WR","WAS","",6,6,2,"",5,5,"",5,6,"","","","","","","","",35,5,9.3,20,57.1,2
"Ricky Seals-Jones","TE","ARI",3,6,6,3,4,6,6,4,4,"",9,3,2,3,5,8,1,"",70,4.7,16.2,34,48.6,1
"Saquon Barkley","RB","NYG",1,6,16,5,8,4,12,10,10,"",5,3,8,4,5,10,7,8,121,7.6,21.6,91,75.2,4
"Stefon Diggs","WR","MIN",1,6,13,10,15,11,5,14,11,"","",18,11,5,6,7,6,10,150,10,25.7,102,68,9
"Trey Burton","TE","CHI","",6,4,5,4,"",4,11,4,3,4,1,7,1,5,7,5,6,77,4.8,14.8,54,70.1,6
"Ted Ginn Jr.","WR","NO","",6,7,6,3,"","","","","","","","","","","",8,"",30,6,6.1,17,56.7,2
"Travis Kelce","TE","KC",1,6,10,10,12,8,9,5,10,9,7,15,"",13,9,9,9,9,150,9.4,25.8,103,68.7,10
"Trent Taylor","WR","SF",3,6,2,4,3,8,"",3,2,"",1,"","",1,2,2,2,4,41,2.9,8.3,26,63.4,1
"Willie Snead IV","WR","BAL",2,6,8,5,7,7,10,7,11,8,"",8,"",3,7,6,"",2,95,5.9,17.7,62,65.3,1
"Zay Jones","WR","BUF",2,6,3,1,7,4,8,5,8,6,11,"",1,9,9,6,9,9,102,6.4,17.9,56,54.9,7
"Austin Ekeler","RB","LAC",1,5,3,3,3,3,"",7,"",2,"",2,11,8,5,"","",1,53,3.8,11.2,39,73.6,3
"Adam Humphries","WR","TB",1,5,2,5,7,"",4,8,10,8,3,5,6,9,8,6,12,6,105,6.6,14.3,76,72.4,5
"Austin Seferian-Jenkins","TE","JAX",8,5,5,5,4,1,"","","","","","","","","","","","",20,4,5,11,55,1
"Chris Carson","RB","SEA",1,5,1,2,"",1,"","",2,"","","",2,4,"",6,"",1,24,1.7,4.2,20,83.3,0
"Chris Hogan","WR","NE",1,5,5,4,1,4,4,7,2,1,1,"",2,2,1,3,"",11,55,3.4,9.4,35,63.6,3
"Courtland Sutton","WR","DEN",1,5,6,3,6,6,4,3,4,5,"",6,4,7,6,6,10,3,84,5.2,13.3,42,50,4
"Devonta Freeman","RB","ATL",3,5,"","","",2,"","","","","","","","","","","","",7,3.5,1.6,5,71.4,0
"Devin Funchess","WR","CAR",4,5,9,7,"",7,8,11,3,5,5,8,"",3,3,1,4,"",79,5.6,18.8,44,55.7,4
"DeSean Jackson","WR","TB",2,5,4,5,8,"",9,5,8,4,8,7,8,"","","",4,"",74,6.2,15.6,41,55.4,4
"Donte Moncrief","WR","JAX",2,5,9,3,5,14,3,10,7,"",4,2,4,4,10,2,4,3,89,5.6,16.5,48,53.9,3
"Dante Pettis","WR","SF",3,5,2,"","","","","",1,"",6,"",7,7,7,5,5,"",45,3.8,6,27,60,5
"Deonte Thompson","WR","BUF","",5,5,2,"",4,1,1,"",2,"","",3,1,2,2,2,"",30,2.3,6.8,17,56.7,0
"Eric Ebron","TE","IND",1,5,4,11,10,15,7,7,3,"",3,"",7,16,8,3,5,6,110,6.9,16.3,66,60,13
"Evan Engram","TE","NYG",1,5,7,1,"","","",4,9,"",5,2,"","",5,12,6,8,64,5.8,8.2,45,70.3,3
"Jordan Howard","RB","CHI",4,5,4,2,1,"",1,1,1,"",1,1,2,1,1,1,3,2,27,1.7,5.3,20,74.1,0
"Justin Hunter","WR","PIT","",5,"","","","",1,"",4,"","","","",3,"","","","",13,2.6,2.1,3,23.1,0
"Jesse James","TE","PIT",3,5,5,1,1,2,7,"",3,3,1,"",4,3,2,1,"",1,39,2.4,6.7,30,76.9,2
"Jordan Reed","TE","WAS","",5,8,7,"",2,9,4,12,6,6,11,8,5,1,"","","",84,6.5,20.6,54,64.3,2
"Jarius Wright","WR","CAR","",5,7,1,"",6,2,2,3,1,3,3,2,3,5,4,8,4,59,3.7,9.7,43,72.9,1
"Kenny Stills","WR","MIA",2,5,3,5,6,5,2,3,"",1,3,"",4,6,9,3,2,7,64,4.3,11.1,37,57.8,6
"Ryan Griffin","TE","HOU",4,5,1,4,1,9,5,"","",2,"","",4,1,5,1,4,1,43,3.1,8.1,24,55.8,0
"Rashaad Penny","RB","SEA",5,5,2,"","","",2,"","",3,"","","","","","","","",12,0.9,3.9,9,75,0
"Sammy Watkins","WR","KC",1,5,7,8,1,8,4,7,9,5,"",1,"","","","","","",55,5.5,14.1,40,72.7,3
"Travis Benjamin","WR","LAC",2,5,"","",1,"","",1,"",1,"",3,3,2,1,3,3,1,24,2,4,12,50,1
"Tyler Boyd","WR","CIN",1,5,9,7,15,7,9,4,10,"",4,11,8,8,6,5,"","",108,7.7,22.1,76,70.4,7
"Taylor Gabriel","WR","CHI","",5,7,10,7,"",5,4,6,5,3,9,8,7,7,3,3,4,93,5.8,19.2,67,72,2
"Todd Gurley II","RB","LAR","",5,3,6,6,5,5,5,7,7,4,3,"",5,7,13,"","",81,5.8,14.6,59,72.8,4
"Tyrell Williams","WR","LAC",1,5,3,3,5,3,4,4,"",3,6,6,"",2,3,12,2,3,65,4.1,12.1,41,63.1,5
"Will Dissly","TE","SEA",2,5,5,3,1,"","","","","","","","","","","","","",14,3.5,4.5,8,57.1,2
"Austin Hooper","TE","ATL",1,4,5,4,2,12,10,4,"",3,11,8,5,5,6,1,2,6,88,5.5,15.4,71,80.7,4
"Albert Wilson","WR","MIA",2,4,5,2,6,6,9,3,"","","","","","","","","","",35,5,10.5,26,74.3,4
"Benjamin Watson","TE","NO","",4,5,6,3,4,"",6,"",4,2,"",2,"",3,2,2,3,46,2.9,9.9,35,76.1,2
"Chase Edmonds","RB","ARI",1,4,5,"","",1,"",3,2,"","","","",2,"",2,2,2,23,1.4,4.6,20,87,0
"Chris Godwin","WR","TB",1,4,6,10,2,"",9,6,7,3,7,3,4,6,10,3,6,9,95,5.9,13.6,59,62.1,7
"Ezekiel Elliott","RB","DAL",1,4,6,8,4,7,1,6,"",5,7,8,6,6,13,8,6,"",95,6.3,18.4,77,81.1,3
"Geoff Swaim","TE","DAL",2,4,"",7,5,3,2,3,"","",3,5,"","","","","","",32,3.6,9.5,26,81.2,1
"John Brown","WR","BAL",3,4,10,9,7,14,3,7,7,6,"",1,7,4,6,3,6,3,97,6.1,17.2,42,43.3,5
"Jake Butt","TE","DEN",8,4,5,3,"","","","","","","","","","","","","","",12,4,3.1,8,66.7,0
"Jamison Crowder","WR","WAS",3,4,4,4,"",8,"","","","","","","",4,7,4,7,8,50,5.6,5.3,29,58,2
"James Develin","RB","NE","",4,1,1,1,"",2,1,2,2,"","","",1,"",2,"",1,18,1.1,3.5,12,66.7,0
"Jimmy Graham","TE","GB",2,4,8,7,6,11,9,"",4,6,1,1,4,11,5,5,4,5,90,5.6,14.5,55,61.1,2
"Jeremy Kerley","WR","BUF","",4,"","","","","","","","","","","","","","","","",4,4,1.2,2,50,0
"Jordy Nelson","WR","OAK","",4,4,8,8,4,3,"",4,3,1,"",1,11,7,8,10,12,88,5.9,10.3,63,71.6,3
"Keelan Cole","WR","JAX",1,4,8,9,3,10,5,7,3,"","","",2,2,7,"",2,8,70,4.4,12.8,38,54.3,1
"Kenyan Drake","RB","MIA",2,4,4,4,2,11,6,8,2,6,2,"",6,4,1,3,5,5,73,4.6,16.5,53,72.6,5
"Laquon Treadwell","WR","MIN",3,4,6,4,7,4,4,3,5,2,"",3,3,2,3,1,"",2,53,3.5,10.1,35,66,1
"Mark Andrews","TE","BAL",1,4,4,3,2,3,4,1,5,6,"",1,1,3,2,4,2,5,50,3.1,7.8,34,68,3
"Rashard Higgins","WR","CLE",2,4,7,3,5,4,"","","",4,1,"",3,4,3,3,7,6,54,4.2,7.8,39,72.2,4
"Tarik Cohen","RB","CHI",4,4,1,3,8,"",9,12,3,2,7,4,8,14,4,6,1,3,91,5.7,17.5,71,78,5
"Tyler Lockett","WR","SEA",1,4,7,6,6,5,4,"",2,4,6,5,5,2,6,2,5,2,71,4.4,17.5,57,80.3,10
"Amari Cooper","WR","DAL",1,3,10,5,11,1,1,"","",8,10,5,9,8,13,7,5,11,107,7.1,18.7,75,70.1,7
"Antonio Gates","TE","LAC","",3,1,5,5,2,2,3,"","",2,7,1,1,2,5,5,2,46,2.9,8.9,28,60.9,2
"Allen Hurns","WR","DAL",3,3,2,4,5,3,5,6,"",1,2,"",1,"",1,2,"",1,36,2.2,9.5,20,55.6,2
"Anthony Miller","WR","CHI",2,3,3,5,"","",4,7,7,6,6,3,4,2,1,"",3,"",54,3.6,13.4,33,61.1,7
"Adrian Peterson","RB","WAS","",3,3,"","",3,1,2,1,3,2,"",2,"",1,3,2,"",26,1.6,5.3,20,76.9,1
"Chester Rogers","WR","IND",1,3,3,4,11,11,10,4,1,"",1,2,4,"",6,1,7,4,72,4.5,12.2,53,73.6,2
"Chad Williams","WR","ARI",7,3,3,4,3,6,2,8,2,"","","","","","","",4,11,46,4.6,9.5,17,37,1
"Derek Carrier","TE","OAK",3,3,1,"","",1,"","","",2,3,"","","",2,"","","",12,0.8,2.6,7,58.3,1
"Dallas Goedert","TE","PHI",1,3,"",7,2,2,1,5,1,"","",1,4,3,5,2,3,3,44,2.8,6.8,33,75,4
"Dion Sims","TE","CHI","",3,"","","","","",1,"","","","","","","","","","",4,0.5,1.1,2,50,0
"Jaron Brown","WR","SEA","",3,3,3,"","",1,"","",2,"","",1,3,1,"",1,2,20,1.3,4.2,14,70,5
"Jason Croom","TE","BUF",4,3,4,1,1,2,"",2,3,5,"","",3,"","",1,6,4,35,2.3,7.1,22,62.9,1
"Josh Doctson","WR","WAS",2,3,7,3,"","",6,6,5,6,4,7,10,5,5,2,6,4,79,5.3,15.1,44,55.7,2
"Josh Gordon","WR","NE","",3,"","",2,4,9,7,6,10,12,"",5,3,8,2,"","",71,5.9,14.1,41,57.7,4
"Jonnu Smith","TE","TEN",2,3,"",2,2,2,1,3,"",2,3,8,2,3,"","","","",31,2.4,8.6,20,64.5,3
"Jordan Wilkins","RB","IND",4,3,2,2,1,2,"",1,"","","","",3,1,"",1,"",1,17,1.1,3.2,16,94.1,0
"Kerryon Johnson","RB","DET",14,3,6,3,1,2,"",3,8,5,6,2,"","","","","","",39,3.9,9.5,32,82.1,1
"Leonard Fournette","RB","JAX",1,3,"","",1,"","","","","",5,2,3,"",3,4,5,"",26,3.2,3.5,22,84.6,1
"LeSean McCoy","RB","BUF","",3,4,"",6,3,5,"",8,4,1,"",1,4,1,"",3,3,46,3.3,10.4,34,73.9,0
"Mike Wallace","WR","PHI","",3,"","","","","","","","","","","","","","","","",3,1.5,0.7,0,0,0
"Maxx Williams","TE","BAL",1,3,3,1,5,2,"","","","","","","","",1,2,"","",17,1.3,3.2,16,94.1,1
"Neal Sterling","WR","NYJ",10,3,"","","","",2,2,1,"","","","","","","","","",8,1.6,2.2,6,75,0
"Phillip Lindsay","RB","DEN",3,3,1,2,2,4,7,1,3,3,"",5,"",1,7,6,2,"",47,3.1,7.9,35,74.5,1
"Rex Burkhead","RB","NE",4,3,"",3,"","","","","","","","","",2,2,3,5,2,20,2.5,1.5,14,70,1
"Tyler Eifert","TE","CIN",1,3,4,8,4,"","","","","","","","","","","","","",19,4.8,4.7,15,78.9,1
"TJ Jones","WR","DET","",3,"",2,"","","",1,"",2,2,1,1,1,1,3,6,3,26,1.7,2.9,19,73.1,2
"Ty Montgomery","RB","BAL",2,3,2,7,3,3,3,"",2,"","","",3,7,3,"",1,3,40,3.1,6,25,62.5,0
"Terrelle Pryor","WR","BUF","",3,8,3,1,1,6,"","",5,3,"","","","","","","",30,3.8,8.9,16,53.3,2
"Tajaé Sharpe","WR","TEN",2,3,2,1,3,4,2,9,"",1,3,7,"",6,4,1,"",1,47,2.9,11.6,26,55.3,2
"Austin Carr","WR","NO","",2,1,2,"",2,"","",1,"",2,2,1,"","","","",1,14,1,3.6,9,64.3,2
"Bilal Powell","RB","NYJ","",2,6,1,7,"",1,1,"","","","","","","","","","",18,2.6,4.9,11,61.1,1
"Cameron Brate","TE","TB",3,2,"",4,4,"",1,4,2,3,3,3,4,6,4,2,3,4,49,3.1,6.7,30,61.2,6
"Charles Clay","TE","BUF","",2,3,3,6,1,5,5,6,"","","","",2,2,1,"","",36,2.8,9.2,21,58.3,0
"C.J. Ham","RB","MIN",3,2,"",6,2,1,1,"","","","","",1,2,"","","","",15,1,2.9,11,73.3,0
"Carlos Hyde","RB","JAX",2,2,1,3,1,3,"","",2,"","","","",1,1,"","",3,17,1.2,3,10,58.8,0
"Christian Kirk","WR","ARI",1,2,5,8,5,4,7,6,7,"",6,4,6,8,"","","","",68,5.7,18.3,43,63.2,3
"Calvin Ridley","WR","ATL",1,2,5,8,6,5,3,6,"",9,5,4,13,5,4,7,5,5,92,5.8,15,64,69.6,10
"Devontae Booker","RB","DEN",2,2,"",7,2,6,3,1,4,4,"",1,2,2,2,3,5,7,51,3.2,8.2,38,74.5,0
"Doug Martin","RB","OAK","",2,1,"","",1,1,"",2,2,3,1,4,2,"",1,2,2,24,1.5,4.4,18,75,0
"De'Anthony Thomas","WR","KC","",2,"","",2,1,"","","","","","","","","","","","",5,1,1.3,3,60,1
"Greg Olsen","TE","CAR","",2,"","","","",7,5,4,6,6,3,4,1,"","","","",38,4.2,10.2,27,71.1,4
"Hakeem Valles","TE","DET","",2,"","",1,"","","","","","","","","","","","","",3,1,0.7,2,66.7,0
"Ian Thomas","TE","CAR",2,2,3,5,"",6,"","",1,"","","","",5,11,4,5,7,49,3.1,4.7,36,73.5,2
"Jordan Akins","TE","HOU",1,2,2,1,3,2,1,"","",3,"",2,1,1,2,"",3,2,25,1.6,4.8,17,68,0
"James O'Shaughnessy","TE","JAX",1,2,1,1,3,6,4,"","","",6,2,2,2,4,1,"",4,38,2.7,6.8,24,63.2,0
"John Ross","WR","CIN",3,2,4,7,2,"","",1,"","",6,7,7,3,4,5,5,5,58,4.5,9,21,36.2,7
"Jordan Thomas","TE","HOU",13,2,3,2,"",1,"",1,4,1,"",1,2,3,4,1,1,1,27,1.7,4.5,20,74.1,4
"Jamaal Williams","RB","GB",2,2,4,3,"",4,3,"",1,2,"","","",4,1,5,9,3,41,2.6,4.5,27,65.9,0
"Kyle Rudolph","TE","MIN",2,2,8,6,6,5,4,4,7,2,"",5,7,3,5,3,9,5,81,5.1,12.5,64,79,4
"Lamar Miller","RB","HOU",2,2,2,6,"","",3,3,2,2,"",5,1,1,6,"","",2,35,2.5,7.5,25,71.4,1
"Luke Stocker","TE","TEN",2,2,2,2,"",1,"",2,"",2,"",3,1,"",1,2,1,2,21,1.3,4.6,15,71.4,2
"Logan Thomas","TE","BUF",1,2,1,"","","",1,"","",8,1,"",1,"",2,"",1,"",17,1.4,4.2,12,70.6,0
"Matt Breida","RB","SF",2,2,4,3,3,1,"","","",1,4,"",4,3,"",5,1,"",31,2.2,6.3,27,87.1,2
"Malcolm Brown","RB","LAR",2,2,1,1,"","","",1,"",1,1,"","","","","","","",7,0.6,1.8,5,71.4,1
"Mike Gesicki","TE","MIA",1,2,"",3,2,5,2,3,5,1,1,"",1,"",1,3,1,2,32,2,7.5,22,68.8,0
"Marshawn Lynch","RB","OAK","",2,2,4,5,2,5,"","","","","","","","","","","",20,3.3,5.2,15,75,0
"Marcus Murphy","RB","BUF","",2,5,1,"","","",6,"",4,"","","","",1,"","","",19,1.7,5.4,11,57.9,0
"Nick Vannett","TE","SEA",4,2,5,5,2,4,"","",3,8,2,2,2,1,1,1,2,3,43,2.9,11.3,29,67.4,3
"O.J. Howard","TE","TB",2,2,4,8,3,"",4,9,4,6,2,6,"","","","","","",48,4.8,10.7,34,70.8,5
"Robert Foster","WR","BUF",3,2,3,2,2,"","","","","",4,"",3,4,8,5,7,5,44,3.4,4.8,27,61.4,3
"Seth Roberts","WR","OAK","",2,3,"",3,7,6,"",4,2,3,7,3,6,7,4,3,5,65,4.3,10.3,45,69.2,2
"Tevin Coleman","RB","ATL",1,2,4,3,3,2,2,2,"",7,5,3,4,3,1,1,1,1,44,2.8,8.4,32,72.7,5
"Tim Patrick","WR","DEN",1,2,2,"","",1,"","",1,4,"",1,"","",10,8,5,7,41,2.6,2.8,23,56.1,1
"Torrey Smith","WR","CAR","",2,7,6,"",1,5,6,"","","","","","","","",2,1,30,2.7,7.5,17,56.7,2
"Terrance Williams","WR","DAL","",2,1,"","","","","","","","","","","","","","","",3,1,0.9,2,66.7,0
"Virgil Green","TE","LAC","",2,3,1,2,1,"",1,"",3,3,4,1,"","",3,2,1,27,1.7,6,19,70.4,1
"Vyncint Smith","WR","HOU",3,2,"",2,"","","","","","","","","","","","",1,5,10,1.4,1.2,5,50,1
"Wayne Gallman","RB","NYG",3,2,1,1,3,"",5,"","","",1,2,2,2,2,"","",1,22,1.5,4.2,14,63.6,0
"Antonio Callaway","WR","CLE",10,1,4,10,9,5,7,2,6,5,2,"",5,6,1,7,1,7,78,4.9,14.1,43,55.1,5
"Alex Collins","RB","BAL",2,1,4,4,1,4,"",4,2,1,"","","","","","","","",21,2.1,4.8,15,71.4,1
"Andre Holmes","WR","DEN","",1,4,4,3,2,2,2,3,1,1,"","","","",1,"","",24,1.6,6.8,13,54.2,0
"Blake Jarwin","TE","DAL",2,1,"",1,"",2,1,1,"",2,"","",2,1,7,7,3,8,36,2.2,3,27,75,3
"Chris Conley","WR","KC",2,1,2,3,6,5,1,1,"",2,2,8,"",7,3,3,5,3,52,3.2,7.9,32,61.5,5
"Chris Moore","WR","BAL",3,1,3,"",1,2,3,2,2,1,"",1,1,1,2,1,1,3,25,1.6,3.9,19,76,1
"Cordarrelle Patterson","WR","NE",2,1,5,1,5,2,1,"","",1,"","",2,2,3,3,2,"",28,1.9,4.4,21,75,3
"C.J. Uzomah","TE","CIN",1,1,4,2,1,2,7,2,4,"",4,5,13,7,3,5,5,1,64,4,11.2,43,67.2,3
"Doug Baldwin","WR","SEA",5,1,"","",7,1,8,"",3,4,5,10,7,4,"",6,12,5,73,5.6,14.9,50,68.5,5
"DeAndre Carter","WR","HOU",2,1,"","","","",1,"","","","","",1,6,1,3,7,5,25,1.8,0.6,22,88,0
"Darren Fells","TE","CLE",2,1,2,"",2,1,"","",1,"","","",1,"","","",3,1,12,0.8,2,11,91.7,3
