name,rf proj,xgb proj,enet proj,svr proj,mean proj,rank,last rank
rashaad-penny,87.72859999999997,124.80904541015624,125.29991303360086,129.06356228171128,116.03381183369288,38,60
samaje-perine,128.22240000000005,99.1310302734375,132.48908051984688,101.88770390267828,113.24469884705876,39,37
elijah-mitchell-rb,90.60719999999996,121.721875,118.38581435659788,115.30332110098098,111.91251730064148,40,62
damien-harris-rb,96.0632,109.87825927734374,125.57266780106484,106.55752125517223,108.53716376919088,41,47
donta-foreman,98.46939999999996,109.9424560546875,107.79120928724294,114.9611646269888,107.63916010339445,42,35
jeffery-wilson,76.86999999999998,103.64310302734376,89.02539039557524,117.05473992624448,106.76280207086202,43,29
michael-carter-rb,134.48599999999993,87.0260986328125,64.94658670950636,76.06139529301711,106.69557624797218,44,43
james-robinson,142.0191999999998,95.37985229492188,47.44360433063788,89.60170731413965,105.37929394020048,45,46
zonovan-bam-knight,146.51119999999983,93.56270141601564,30.08484665926692,74.41856450858953,104.83082197486831,46,59
alexander-mattison,129.97300000000013,91.043408203125,150.18538992865447,88.739724294235,103.54094952816308,48,48
raheem-mostert,73.88759999999999,97.87089233398436,99.6636076924977,120.88816069002964,103.52243966901032,49,26
latavius-murray,135.76819999999992,73.53955078125,42.08259269311444,100.9350685539678,102.3023313334236,51,32
clyde-edwards-helaire,97.6384,99.11422119140624,73.35317984231308,95.1085714489772,101.23896672108496,52,45
jaylen-warren,102.14440000000002,84.478466796875,99.99405691576364,75.53319995535722,97.32617371729442,53,50
jerick-mckinnon,80.40380000000003,87.551513671875,116.69220596587952,101.76210983936132,95.36255482138436,54,21
cordarrelle-patterson,67.82739999999998,90.3947265625,77.4837798859992,119.6816517708876,95.03689466572536,55,30
chuba-hubbard,104.68659999999996,85.14886474609375,89.62928117070165,76.0870051721337,94.6545078105019,56,49
malik-davis,152.13739999999987,67.82227783203125,40.31764540495142,57.51253637293305,93.34855959355517,57,65
zack-moss,150.14719999999983,67.23462524414063,28.57478191425335,62.74288760506524,93.13313082357564,58,57
joshua-kelley,148.0793999999999,66.73504028320312,61.01540421069272,59.99349070861458,92.7546026129663,59,58
gus-edwards,77.715,89.3892333984375,75.75257250588015,90.66749092282444,84.58189970530466,60,56
kyren-williams,148.65219999999985,54.994921875,27.821694013458284,36.73446225423064,84.31433207648915,61,66
chase-edmonds,140.01899999999992,54.222900390625,42.39735018300209,56.40664164589421,82.97642369844766,62,54
kenneth-gainwell,74.76779999999997,77.67257080078124,100.76089959021564,70.34333788360757,82.87165534162345,63,52
kareem-hunt,43.40559999999998,82.99379272460938,89.8456716712475,87.1069212580218,81.27141288758415,64,40
jamycal-hasty,145.18739999999983,47.03125610351562,3.1605659052144404,46.891351121872304,79.93238039039397,65,55
pierre-strong-jr,142.2517999999999,56.21395263671875,60.27457857716847,35.42852067670756,76.38070228573248,66,67
matt-breida,137.24399999999991,37.077490234375,51.49871024814934,41.5167723071402,70.46322751787018,70,61
hassan-haskins,150.10439999999988,38.5979736328125,12.590519657205164,16.954272969641835,66.29862819700242,71,68
nyheim-hines,134.9977999999999,32.53755187988281,24.67565163541877,22.30032641708047,65.88392368145689,72,53
sony-michel,142.29419999999988,38.59008483886719,51.9676289889052,32.20452043915023,64.95449837121168,73,69
travis-homer,142.8099999999999,26.693023681640625,1.3893540060963687,18.66664360145788,62.72322242769946,74,63
