name,rf proj,xgb proj,enet proj,svr proj,mean proj,rank,last rank
christian-watson,166.85779999999994,163.37705078125,162.37682683608776,140.1928262239849,158.08620602557107,30,35
marquise-brown,149.293,145.2926513671875,154.01477066674605,159.84154070099956,157.96877419305616,31,46
mike-williams-wr,173.79399999999998,142.5542724609375,161.7539253098748,142.39943502457916,157.68466963947185,32,31
mike-evans,134.18839999999994,142.3499755859375,154.5215731106964,161.1948941458883,156.54989248354823,33,16
gabriel-davis,139.76780000000002,140.260498046875,144.71902936383114,153.3575258632965,152.31179313327357,34,27
jahan-dotson,143.78440000000003,145.8226318359375,147.63929724029578,142.01173482251275,148.71987202274093,35,50
george-pickens,150.19119999999998,136.2246826171875,151.4749382011173,155.66537964783916,148.56163834714164,36,37
treylon-burks,129.36420000000004,162.7455810546875,152.08757177647837,139.80726888299696,147.09838038832254,37,70
courtland-sutton,133.49219999999997,127.52630615234376,143.46340313105085,153.5239473459557,142.27048407527934,38,43
zay-jones,122.4458,121.87481689453124,119.53596336375465,135.31890081101292,137.7673973628132,39,26
jakobi-meyers,121.72079999999995,121.9760009765625,126.3503665126696,133.24908269778646,137.31368631886198,40,28
brandin-cooks,129.17619999999994,127.7108642578125,144.22249487073265,135.97229560696067,136.7573411950865,41,49
allen-lazard,114.72219999999996,118.38541259765626,129.83548637421592,126.24376150816924,130.98199118785556,42,33
juju-smith-schuster,100.4988,126.46851806640623,134.3516336318842,122.80550629074938,128.83224075915228,43,29
donovan-peoples-jones,120.54319999999998,109.08994140625,115.93518919044328,132.3150193396971,127.84523523625454,44,40
tyler-boyd,113.61659999999998,115.99798583984376,124.96837324677486,116.6810710942689,122.89745828368903,45,30
adam-thielen,117.9256,109.42774658203123,121.22069613864524,131.78233740218892,122.22746993109534,46,32
elijah-moore,109.6238,122.18658447265624,137.340219000332,132.24524841594794,121.92772018372612,47,73
kj-osborn,100.42599999999996,120.52559814453124,120.373195775774,119.8387579327172,120.81813541016788,48,45
darnell-mooney,117.09080000000002,107.0723876953125,123.4198306853531,106.35599620903056,119.92602402908813,49,67
romeo-doubs,97.92780000000002,120.497021484375,120.4316900874028,114.95714952507277,118.76780631012572,50,68
josh-palmer,119.3014,86.89462890625,85.95288278441141,106.51842002162928,117.1510719152482,51,41
alec-pierce,110.97660000000003,105.23079833984374,105.8705329674922,125.75073528997476,117.05156108368828,52,56
parris-campbell,90.6378,111.5424560546875,97.34192750262346,106.9566434734252,114.19619017823416,53,48
nico-collins,86.69919999999999,102.51793212890624,119.40021792078328,103.16984300525112,108.77545114032804,55,69
isaiah-hodgins,93.06260000000005,95.697900390625,90.35337573031464,97.45041802668894,108.33281395014605,56,65
chase-claypool,117.92180000000003,78.40606079101562,84.2208131897389,89.42154850000023,104.61024557479624,57,64
michael-gallup,86.09080000000003,99.72169189453123,106.06477272209231,108.9385892778554,104.35567853461907,58,61
rondale-moore,70.18880000000003,104.4025634765625,123.20549979954669,90.83681035971496,104.29526322745956,59,78
curtis-samuel,84.45540000000003,93.49429931640626,97.4879408964467,83.5212746290704,103.7105993633684,61,34
marquez-valdesscantling,115.88760000000003,73.7276611328125,98.1407567342203,94.00366320376114,98.8635755917842,65,53
dj-chark,92.67,83.19693603515626,101.41199048045767,77.28310274874744,95.74697219673853,67,63
robert-woods,106.7658,69.61439208984375,77.56269138549906,89.57139742462496,94.90799280142502,68,58
richie-james,90.61120000000004,73.50094604492188,74.34995195089047,87.5905646303909,94.49963624257045,69,52
darius-slayton,95.80340000000002,65.86305541992188,75.34346570758497,67.3724711831866,92.80732555333807,70,51
mack-hollins,110.58940000000004,52.89946899414063,55.777226164774426,69.7110242904611,90.02604236671436,71,44
greg-dortch,89.09500000000006,76.33788452148437,69.4819492824544,64.70616500692066,89.00147252882901,72,60
kendrick-bourne,104.98980000000005,70.78583984375,73.50289635851672,63.59442726540808,86.53764478486741,73,71
hunter-renfrow,82.11640000000003,79.58970336914062,94.65563687267402,73.01277067005722,85.90346597829809,74,80
olamide-zaccheaus,106.6408,57.25562744140625,58.76536676272474,60.33214092176981,85.827434871729,75,57
josh-reynolds,90.64580000000004,54.27572021484375,64.65501841742591,62.72795033949969,80.97551924564462,76,62
russell-gage,80.29640000000003,57.15308837890625,53.65489797891162,64.16450150705137,80.37586378305657,78,54
allen-robinson,87.4164,57.6874267578125,80.34721381899234,60.86765491125961,78.658837344743,79,76
corey-davis,96.89480000000005,52.5606689453125,66.16426825743012,56.074848719278656,77.88477452193457,80,66
terrace-marshall,95.83700000000002,48.96037292480469,70.32051600596627,43.33570754773396,76.3910301387145,81,74
marvin-jones,92.83900000000004,45.34027099609375,66.86531045598063,69.02996127764973,75.98357994512519,82,55
tyquan-thornton,86.02040000000008,55.94464111328125,88.03636301935418,59.88403745371991,75.28947998103507,83,82
nick-westbrook,90.73640000000002,53.82896728515625,64.21742300645371,57.27829317450678,74.24794203760652,84,72
devante-parker,95.30499999999998,43.061013793945314,69.24081747856988,41.51650703934925,71.33486596649283,85,59
quez-watkins,93.70340000000004,41.11188049316407,50.52029921664058,49.57940752473192,70.63978987978285,86,77
trent-sherfield,74.60520000000004,57.7267578125,69.41496610196374,49.50187267443633,69.44098503578084,87,75
nelson-agholor,81.74720000000002,41.84864501953125,60.71221201370115,39.57137623140844,64.59948069897204,88,81
randall-cobb,81.94800000000001,12.742831420898437,39.72557602457336,4.4255826619723,46.81232920066733,89,79
