name,MISC_FPTS/G
slade-bolden,0.0
emeka-emezie,0.0
dontario-drummond,0.0
joseph-ngata,0.0
calvin-austin-iii,0.0
cj-saunders,0.0
kaylon-geiger,0.0
johnny-johnson-iii,0.0
kalil-pimpleton,0.0
stanley-berryhill-iii,0.0
tanner-conner,0.0
tay-martin,0.0
bo-melton,0.0
justin-shorter,0.0
taye-barber,0.0
jadon-haselwood,0.0
rashee-rice,0.0
jordan-addison,0.0
parker-washington,0.0
marvin-mims,0.0
quentin-johnston,0.0
jerrion-ealy,0.0
jonathan-mingo,0.0
makai-polk,0.0
kevin-austin,0.0
jaxon-smith-njigba,0.0
jacob-harris,0.0
tre-nixon,0.0
kawaan-baker,0.0
brandon-smith,0.0
blake-proehl,0.0
puka-nacua,0.0
josh-gordon,0.0
eron-riley,0.0
demario-ballard,0.0
patrick-edwards,0.0
albert-wilson,0.0
odell-beckham,0.0
maurice-purify,0.0
matthew-slater,0.0
marko-mitchell,0.0
kenny-mckinley,0.0
lance-long,0.0
bobby-wade,0.0
chris-henry,0.0
mike-furrey,0.0
onrea-jones,0.0
taj-smith,0.0
rod-harper,0.0
sam-giguere,0.0
nate-hughes,0.0
andre-roberts,0.0
tanner-gentry,0.0
tim-patrick,0.0
justin-hardee,0.0
marcus-kemp,0.0
david-moore,0.0
jaydon-mickens,0.0
john-ross,0.0
marken-michel,0.0
vyncint-smith,0.0
chris-lacy,0.0
daurice-fountain,0.0
greg-ward,0.0
james-washington,0.0
calvin-ridley,0.0
marcell-ateman,0.0
brandon-zylstra,0.0
ty-montgomery,0.0
willie-snead,0.0
diontae-spencer,0.0
jakeem-grant,0.0
rashard-higgins,0.0
alex-erickson,0.0
ihmir-smith-marsette,0.0
kavontae-turpin,-0.1
chester-rogers,-0.7
