Rank,name,MISC_FPTS/G
130,jakeem-grant,2.6
131,kendall-hinton,3.5
132,james-proche-ii,5.2
133,juju-smith-schuster,7.0
134,greg-ward,3.5
135,dj-chark,11.5
136,noah-brown,3.4
137,anthony-schwartz,2.6
138,breshad-perriman,6.7
139,terrace-marshall,2.7
140,mohamed-sanu,4.1
141,parris-campbell,5.4
142,khadarel-hodge,2.6
143,ihmir-smith-marsette,4.8
144,nkeal-harry,2.8
145,dee-eskridge,3.5
146,dyami-brown,2.8
147,dante-pettis,8.4
148,marcus-johnson,3.5
149,ben-skowronek,2.0
150,trent-sherfield,2.0
151,collin-johnson,2.7
152,denzel-mims,2.1
153,trinity-benson,2.9
154,equanimeous-st-brown,1.7
155,kristian-wilkerson,20.2
156,jeff-smith,2.1
157,scott-miller,3.2
158,kenny-stills,2.7
159,tom-kennedy,2.6
160,phillip-dorsett,3.6
161,dede-westbrook,1.1
162,shi-smith,3.2
163,dez-fitzpatrick,5.3
164,dax-milne,1.7
165,anthony-miller,4.8
166,josh-gordon,1.6
167,chris-hogan,2.8
168,preston-williams,2.3
169,auden-tate,3.2
170,penny-hart,1.1
171,kj-hamler,4.1
172,juwann-winfree,2.4
173,jaelon-darden,1.3
174,cameron-batson,2.8
175,jamarcus-bradley,2.6
176,mike-thomas,1.5
177,dezmon-patmon,2.5
178,curtis-samuel,2.0
179,cj-board,1.6
180,amari-rodgers,0.6
181,will-fuller,4.3
182,jason-moore,8.6
183,alex-erickson,0.5
184,andre-roberts,0.5
185,cody-white,1.4
186,willie-snead,1.1
187,pharoh-cooper,1.0
188,cody-hollister,2.4
189,greg-dortch,1.4
190,dj-montgomery,3.3
191,christian-blake,0.7
192,trent-taylor,1.5
193,kj-hill,1.0
194,gunner-olszewski,0.4
195,brandon-powell,1.0
196,jj-arcega-whiteside,0.8
197,trenton-irwin,1.1
198,kevin-white,1.2
199,jake-kumerow,0.7
200,keith-kirkwood,1.6
201,mike-strachan,2.3
202,seth-williams,4.4
203,marcus-kemp,0.4
204,dazz-newsome,1.4
205,tylan-wallace,0.4
206,david-sills-v,0.9
207,tyron-johnson,0.5
208,stanley-morgan,0.3
209,tyrell-williams,3.4
210,cj-saunders,3.1
211,jaydon-mickens,0.3
212,davion-davis,1.4
213,frank-darby,0.6
214,andy-isabella,0.8
215,kirk-merritt,2.3
216,tarik-black,2.0
217,marvin-hall,2.0
218,tommylee-lewis,0.9
219,miles-boykin,0.8
220,keke-coutee,1.5
221,easop-winston,0.5
222,malik-taylor,0.2
223,racey-mcmath,0.1
224,maurice-ffrench,0.2
225,matt-cole,0.0
226,nsimba-webster,0.0
227,john-hightower,0.0
228,cody-thompson,0.0
229,quinton-bell,0.0
230,antonio-gandy-golden,0.0
231,marquez-stevenson,0.0
232,tutu-atwell,0.0
233,demetric-felton,0.0
